condition,numerator,denominator,commit_delta_count,commit_delta_maximum,commit_delta_median,commit_delta_minimum,complete,complete_seeds,expected_seeds,total_ms_delta_count,total_ms_delta_maximum,total_ms_delta_median,total_ms_delta_minimum,total_ms_ratio_count,total_ms_ratio_maximum,total_ms_ratio_median,total_ms_ratio_minimum,validator_rate_ratio_count,validator_rate_ratio_maximum,validator_rate_ratio_median,validator_rate_ratio_minimum
main-l2-n40-uniform-k1,graph,adaptive,5,0,0,0,True,5,5,5,0.006310999999999997,0.0021839999999999984,-0.0013649999999999982,5,1.1142841621093043,1.040671905843793,0.9717625155151014,5,1.0290580095795636,0.9609176479009341,0.8974371475468448
main-l2-n40-uniform-k1,paper,adaptive,5,0,0,0,True,5,5,5,-0.010054,-0.014842000000000001,-0.015883,5,0.7883992086542914,0.7250106534748856,0.7123791242620694,5,1.4037469178169248,1.3792900769211112,1.268392952482648
main-l2-n40-zipf-k1,adaptive,accept_id,5,1,1,0,True,5,5,5,0.053723999999999994,0.042547999999999996,0.04187300000000001,5,2.2182036688510465,1.9659428466161606,1.896522930672719,5,0.5483719617516566,0.5086617862371888,0.4722826232460784
main-l2-n40-zipf-k1,adaptive,accept_static_degree,5,0,0,0,True,5,5,5,0.044934999999999996,0.031717999999999996,0.031094000000000004,5,1.8495934959349594,1.572833956633076,1.558012702098837,5,0.6418432909134024,0.6357950219619326,0.5406593406593406
main-l2-n40-zipf-k1,graph,adaptive,5,0,0,0,True,5,5,5,-0.004469000000000001,-0.010685,-0.012351,5,0.9476544655929722,0.8907743419371327,0.8605651452375845,5,1.1620270766647427,1.1226187743860454,1.0552369416359726
main-l2-n40-zipf-k1,paper,adaptive,5,0,0,0,True,5,5,5,-0.018944000000000003,-0.0278,-0.034570000000000004,5,0.778108345534407,0.6809328696530432,0.6362316248040154,5,1.5717546267965532,1.4685735475062787,1.2851680691243546
main-l3-n40-uniform-k1,adaptive,accept_id,5,0,0,0,True,5,5,5,0.024238000000000003,0.015865999999999998,0.0027280000000000013,5,1.4454040942335258,1.314408576580861,1.0534259984338292,5,0.9492835770967681,0.7607984441194651,0.6918480471928397
main-l3-n40-uniform-k1,adaptive,accept_static_degree,5,0,0,0,True,5,5,5,-0.055154999999999996,-0.064144,-0.08614100000000001,5,0.581239085870473,0.5083733799330129,0.377157400779448,5,2.651412905946858,1.967058149527356,1.7204624126445038
main-l3-n40-uniform-k1,graph,adaptive,5,0,0,0,True,5,5,5,-0.0006429999999999977,-0.0026540000000000036,-0.008389999999999995,5,0.9879362101313321,0.9599873358561112,0.8904055907517472,5,1.123083693977848,1.041680408323518,1.0122111020377156
main-l3-n40-uniform-k1,paper,adaptive,5,0,0,0,True,5,5,5,-0.006090999999999999,-0.018037000000000004,-0.026392000000000006,5,0.8847536926765138,0.7245839059398381,0.6572498564643249,5,1.521491393515853,1.3801024171285272,1.1302580687454933
main-l3-n40-zipf-k1,adaptive,accept_id,5,2,1,0,True,5,5,5,0.101501,0.09617,0.09537300000000001,5,3.03132004482869,2.907037617244046,2.769574736529613,5,0.36869978830845995,0.3608872268458355,0.3459824637056202
main-l3-n40-zipf-k1,adaptive,accept_static_degree,5,0,0,0,True,5,5,5,0.01567200000000002,0.010523000000000005,0.009272000000000002,5,1.1163673084491044,1.078309532137196,1.0661449453191323,5,0.9379587685431151,0.9273775017253278,0.8957625258565071
main-l3-n40-zipf-k1,graph,adaptive,5,0,0,0,True,5,5,5,-0.04071300000000001,-0.043643,-0.04495600000000001,5,0.7292100379783037,0.7077865151505164,0.6922866314845616,5,1.4444883874986407,1.4128554000316638,1.3713470028092962
main-l3-n40-zipf-k1,paper,adaptive,5,0,0,0,True,5,5,5,-0.064995,-0.06564600000000001,-0.068967,5,0.5676780193921337,0.563375878788685,0.5285887173825347,5,1.8918300128534702,1.7750138719998112,1.7615619520917758
main-l4-n40-uniform-k1,adaptive,accept_id,5,0,0,0,True,5,5,5,0.055053,0.026768999999999994,0.006957999999999992,5,1.9040792196275496,1.4508690965438253,1.108757834846898,5,0.9019101994783959,0.6892420566280865,0.5251882325545293
main-l4-n40-uniform-k1,adaptive,accept_static_degree,5,0,0,0,True,5,5,5,-0.133206,-0.164854,-0.20220000000000002,5,0.47271669299006047,0.3432664528083843,0.2732077698330304,5,3.660218011409943,2.913188841550481,2.115431959203155
main-l4-n40-uniform-k1,graph,adaptive,5,0,0,0,True,5,5,5,0.004733000000000001,-0.011997999999999995,-0.038452,5,1.0667230563191654,0.8607167318698413,0.6683657188198056,5,1.4961868507645655,1.16182242423425,0.9374504414019136
main-l4-n40-uniform-k1,paper,adaptive,5,0,0,0,True,5,5,5,-0.011486999999999997,-0.028242999999999997,-0.054100999999999996,5,0.8416972290138549,0.6721305766127628,0.5333988805229976,5,1.8747695889790772,1.487806141835642,1.1880756708342914
main-l4-n40-zipf-k1,adaptive,accept_id,5,1,1,1,True,5,5,5,0.30736199999999997,0.211099,0.19278499999999998,5,4.9129471674092935,4.4655492248575595,4.2364939730718865,5,0.24992919525954396,0.2382003618068156,0.21920102948938536
main-l4-n40-zipf-k1,adaptive,accept_static_degree,5,0,0,0,True,5,5,5,-0.022508000000000028,-0.04110899999999998,-0.145501,5,0.9448900641496498,0.8582421532199339,0.6546626160017088,5,1.5275043595851052,1.1651723190806023,1.058324177532702
main-l4-n40-zipf-k1,graph,adaptive,5,0,0,0,True,5,5,5,-0.12060799999999999,-0.13038100000000002,-0.212328,5,0.5485215791581977,0.5220625240240776,0.41107520767747935,5,2.4326448818206967,1.9154793803086312,1.8230823325760037
main-l4-n40-zipf-k1,paper,adaptive,5,0,0,0,True,5,5,5,-0.144638,-0.16348000000000001,-0.22643599999999997,5,0.4372333221835151,0.4199154604841809,0.401213834934565,5,2.4924364838094197,2.3814317263931084,2.2871083910212153
paper_k-l2-n40-uniform-k2,adaptive,accept_id,5,0,-1,-1,True,5,5,5,0.016915,0.009564999999999997,-0.0026580000000000006,5,1.2490503253923848,1.2080523774307217,0.959064867861763,5,1.04268233933905,0.8065535837371846,0.7800798370977429
paper_k-l2-n40-uniform-k2,adaptive,accept_static_degree,5,0,-1,-1,True,5,5,5,0.014815000000000002,0.0004699999999999982,-0.0033429999999999988,5,1.2252198905241267,1.006063968415756,0.9375478712473613,5,1.0666122026063045,0.9684861052059073,0.7952523313526695
paper_k-l2-n40-uniform-k2,graph,adaptive,5,0,0,0,True,5,5,5,0.007382,0.0033450000000000008,-7.399999999999768e-05,5,1.1470928147292074,1.0602279479284826,0.9984571118802386,5,1.0015452723020382,0.9431933971876909,0.8717690383546415
paper_k-l2-n40-uniform-k2,paper,adaptive,5,0,0,0,True,5,5,5,-0.006874000000000005,-0.015253000000000003,-0.020339000000000003,5,0.8896168545460384,0.7291970408769372,0.6920765074787624,5,1.4449269541643657,1.3713714454976305,1.1240794223826716
paper_k-l2-n40-zipf-k2,adaptive,accept_id,5,0,-1,-2,True,5,5,5,0.049148,0.043035,0.039242000000000006,5,2.1495532581746737,1.9480666666666668,1.874902459144316,5,0.5133294548441188,0.4923333043673135,0.44305994687923267
paper_k-l2-n40-zipf-k2,adaptive,accept_static_degree,5,-1,-2,-2,True,5,5,5,0.038,0.033406000000000005,0.028434,5,1.7049831175095544,1.6156993567650257,1.510842421084781,5,0.6109683645327857,0.5860585185107902,0.533196428606757
paper_k-l2-n40-zipf-k2,graph,adaptive,5,0,0,0,True,5,5,5,-0.005148,-0.006641000000000008,-0.010508000000000003,5,0.9420185387500423,0.9214463987887533,0.8796306902792732,5,1.1368407344706342,1.0852503209242619,1.0615502337426321
paper_k-l2-n40-zipf-k2,paper,adaptive,5,0,0,0,True,5,5,5,-0.02407799999999999,-0.026504,-0.029327,5,0.7161850463088915,0.6944206791919053,0.65600037535336,5,1.5243893716697063,1.4400492813141685,1.3962871818587215
