condition,seed,numerator,denominator,commit_delta,commit_delta_defined,complete,successful,total_ms_delta,total_ms_delta_defined,total_ms_ratio,total_ms_ratio_defined,validator_rate_ratio,validator_rate_ratio_defined
main-l2-n40-zipf-k1,71,paper,adaptive,0,3,True,3,-0.034570000000000004,3,0.6362316248040154,3,1.5717546267965532,3
main-l2-n40-zipf-k1,101,adaptive,accept_id,1,3,True,3,0.053723999999999994,3,2.2182036688510465,3,0.4722826232460784,3
main-l2-n40-zipf-k1,101,adaptive,accept_static_degree,0,3,True,3,0.044934999999999996,3,1.8495934959349594,3,0.5406593406593406,3
main-l2-n40-zipf-k1,101,graph,adaptive,0,3,True,3,-0.010685,3,0.8907743419371327,3,1.1226187743860454,3
main-l2-n40-zipf-k1,101,paper,adaptive,0,3,True,3,-0.027449,3,0.7170818688737489,3,1.394540907261542,3
main-l3-n40-uniform-k1,11,adaptive,accept_id,0,3,True,3,0.015865999999999998,3,1.314408576580861,3,0.7607984441194651,3
main-l3-n40-uniform-k1,11,adaptive,accept_static_degree,0,3,True,3,-0.064144,3,0.5083733799330129,3,1.967058149527356,3
main-l3-n40-uniform-k1,11,graph,adaptive,0,3,True,3,-0.0026540000000000036,3,0.9599873358561112,3,1.041680408323518,3
main-l3-n40-uniform-k1,11,paper,adaptive,0,3,True,3,-0.018037000000000004,3,0.7245839059398381,3,1.3801024171285272,3
main-l3-n40-uniform-k1,29,adaptive,accept_id,0,3,True,3,0.0027280000000000013,3,1.0536543151600977,3,0.9490778765026505,3
main-l3-n40-uniform-k1,29,adaptive,accept_static_degree,0,3,True,3,-0.083917,3,0.388435835209923,3,2.5744277673545968,3
main-l3-n40-uniform-k1,29,graph,adaptive,0,3,True,3,-0.0006429999999999977,3,0.9879362101313321,3,1.0122111020377156,3
main-l3-n40-uniform-k1,29,paper,adaptive,0,3,True,3,-0.006090999999999999,3,0.8847536926765138,3,1.1302580687454933,3
main-l3-n40-uniform-k1,47,adaptive,accept_id,0,3,True,3,0.024238000000000003,3,1.4454040942335258,3,0.6918480471928397,3
main-l3-n40-uniform-k1,47,adaptive,accept_static_degree,0,3,True,3,-0.055154999999999996,3,0.581239085870473,3,1.7204624126445038,3
main-l3-n40-uniform-k1,47,graph,adaptive,0,3,True,3,-0.008389999999999995,3,0.8904055907517472,3,1.123083693977848,3
main-l3-n40-uniform-k1,47,paper,adaptive,0,3,True,3,-0.026392000000000006,3,0.6644629780309194,3,1.504974743609368,3
main-l3-n40-uniform-k1,71,adaptive,accept_id,0,3,True,3,0.0027290000000000023,3,1.0534259984338292,3,0.9492835770967681,3
main-l3-n40-uniform-k1,71,adaptive,accept_static_degree,0,3,True,3,-0.08614100000000001,3,0.377157400779448,3,2.651412905946858,3
main-l3-n40-uniform-k1,71,graph,adaptive,0,3,True,3,-0.0016450000000000006,3,0.9694289059451021,3,1.0315351583467525,3
main-l3-n40-uniform-k1,71,paper,adaptive,0,3,True,3,-0.008843000000000004,3,0.8356594621717556,3,1.1966596984388205,3
main-l3-n40-uniform-k1,101,adaptive,accept_id,0,3,True,3,0.022442000000000004,3,1.4234819036117297,3,0.7025027838167452,3
main-l3-n40-uniform-k1,101,adaptive,accept_static_degree,0,3,True,3,-0.056484999999999994,3,0.5735153200738542,3,1.743632584864909,3
main-l3-n40-uniform-k1,101,graph,adaptive,0,3,True,3,-0.006288999999999989,3,0.9179367399133568,3,1.0893996901076093,3
