condition,mode,commit_count_count,commit_count_maximum,commit_count_median,commit_count_minimum,complete,complete_seeds,expected_seeds,fvs_size_count,fvs_size_maximum,fvs_size_median,fvs_size_minimum,peak_rss_kib_count,peak_rss_kib_maximum,peak_rss_kib_median,peak_rss_kib_minimum,total_ms_count,total_ms_maximum,total_ms_median,total_ms_minimum,validator_commits_per_second_count,validator_commits_per_second_maximum,validator_commits_per_second_median,validator_commits_per_second_minimum
paper_k-l2-n40-uniform-k2,lazy,5,40,38,38,True,5,5,5,2,2,0,5,2020,2004,1968,5,0.064479,0.054786,0.046624,5,857927.2477693892,693607.8560216114,589339.1646892787
paper_k-l2-n40-uniform-k2,paper,5,40,38,38,True,5,5,5,2,2,0,5,2052,2004,1964,5,0.056565,0.039838,0.039517,5,1007632.8186009018,953863.145740248,671793.5118889774
paper_k-l2-n40-uniform-k2,profile,5,40,38,38,True,5,5,5,2,2,0,5,2036,2012,2004,5,0.092294,0.068898,0.047695,5,838662.3335779432,551539.9576185085,411727.7396147095
paper_k-l2-n40-zipf-k2,accept_id,5,26,24,21,True,5,5,5,19,16,14,5,2036,2016,1980,5,0.04511,0.044853,0.042754,5,579671.3709227922,533333.3333333334,491182.11161528743
paper_k-l2-n40-zipf-k2,accept_static_degree,5,26,25,22,True,5,5,5,18,15,14,5,2036,2008,1984,5,0.055052,0.053902,0.052821,5,492228.469737415,460770.0388889913,408148.12066342623
paper_k-l2-n40-zipf-k2,adaptive,5,24,24,20,True,5,5,5,20,16,16,5,2016,1992,1988,5,0.091734,0.087513,0.083452,5,287590.47116905526,273775.70925019676,218021.67135413262
paper_k-l2-n40-zipf-k2,graph,5,24,24,20,True,5,5,5,20,16,16,5,2036,2032,1992,5,0.086533,0.07989,0.07574,5,316873.51465540007,300243.9482079189,231125.69771069995
paper_k-l2-n40-zipf-k2,lazy,5,24,24,20,True,5,5,5,20,16,16,5,2016,2012,1988,5,0.088558,0.087093,0.086509,5,275985.7867319833,271008.8303710563,226726.52246859838
paper_k-l2-n40-zipf-k2,paper,5,24,24,20,True,5,5,5,20,16,16,5,2040,2004,1980,5,0.06313,0.060875,0.056016,5,428449.01456726645,394250.5133470226,316806.58957706316
paper_k-l2-n40-zipf-k2,profile,5,24,24,20,True,5,5,5,20,16,16,5,2012,2004,1996,5,0.120289,0.116177,0.106009,5,226395.87204859965,199662.2380473033,166266.24213352843
