condition,seed,mode,commit_count,complete,expected,fvs_size,peak_rss_kib,successful,total_ms,validator_commits_per_second
main-l1-n40-uniform-k1,47,profile,40,True,3,0,2016,3,0.040166,995867.1513220136
main-l1-n40-uniform-k1,71,accept_id,40,True,3,0,2036,3,0.036892,1084245.9069717012
main-l1-n40-uniform-k1,71,accept_static_degree,40,True,3,0,2020,3,0.038932,1027432.4463166547
main-l1-n40-uniform-k1,71,adaptive,40,True,3,0,2000,3,0.03746,1067805.6593699947
main-l1-n40-uniform-k1,71,graph,40,True,3,0,2076,3,0.037243,1074027.3339956503
main-l1-n40-uniform-k1,71,lazy,40,True,3,0,1976,3,0.040345,991448.7544925022
main-l1-n40-uniform-k1,71,paper,40,True,3,0,2016,3,0.027968,1430205.9496567505
main-l1-n40-uniform-k1,71,profile,40,True,3,0,2004,3,0.0397,1007556.6750629724
main-l1-n40-uniform-k1,101,accept_id,40,True,3,0,2004,3,0.038685,1033992.5035543493
main-l1-n40-uniform-k1,101,accept_static_degree,40,True,3,0,2032,3,0.040528,986971.9699960521
main-l1-n40-uniform-k1,101,adaptive,40,True,3,0,1980,3,0.039536,1011736.1392148928
main-l1-n40-uniform-k1,101,graph,40,True,3,0,2016,3,0.041312,968241.6731216111
main-l1-n40-uniform-k1,101,lazy,40,True,3,0,2036,3,0.035602,1123532.3858210212
main-l1-n40-uniform-k1,101,paper,40,True,3,0,2056,3,0.031687,1262347.3348691892
main-l1-n40-uniform-k1,101,profile,40,True,3,0,2036,3,0.037425,1068804.275217101
main-l1-n40-zipf-k1,11,accept_id,31,True,3,9,1980,3,0.04095,757020.7570207571
main-l1-n40-zipf-k1,11,accept_static_degree,31,True,3,9,2012,3,0.054863,565043.8364653774
main-l1-n40-zipf-k1,11,adaptive,31,True,3,9,2040,3,0.068737,450994.36984447966
main-l1-n40-zipf-k1,11,graph,31,True,3,9,2036,3,0.058899,526324.7253773409
main-l1-n40-zipf-k1,11,lazy,31,True,3,9,2008,3,0.050668,611826.004578827
main-l1-n40-zipf-k1,11,paper,31,True,3,9,2036,3,0.047405,653939.4578630945
main-l1-n40-zipf-k1,11,profile,31,True,3,9,1992,3,0.070373,440509.85463174793
main-l1-n40-zipf-k1,29,accept_id,33,True,3,7,1980,3,0.051453,641362.0197073057
main-l1-n40-zipf-k1,29,accept_static_degree,33,True,3,7,2032,3,0.045579,724017.6397024945
main-l1-n40-zipf-k1,29,adaptive,33,True,3,7,2004,3,0.089612,368254.2516627238
main-l1-n40-zipf-k1,29,graph,33,True,3,7,2032,3,0.063543,519333.3648080827
main-l1-n40-zipf-k1,29,lazy,33,True,3,7,1984,3,0.065126,506710.0697110217
main-l1-n40-zipf-k1,29,paper,33,True,3,7,1984,3,0.055653,592959.9482507681
main-l1-n40-zipf-k1,29,profile,33,True,3,7,2016,3,0.078448,420660.81990617985
main-l1-n40-zipf-k1,47,accept_id,37,True,3,3,1996,3,0.048923,756290.4973121027
main-l1-n40-zipf-k1,47,accept_static_degree,37,True,3,3,2036,3,0.054433,679734.7197472121
main-l1-n40-zipf-k1,47,adaptive,37,True,3,3,2008,3,0.059635,620441.0161817725
main-l1-n40-zipf-k1,47,graph,37,True,3,3,1996,3,0.051665,716152.1339398045
main-l1-n40-zipf-k1,47,lazy,37,True,3,3,1996,3,0.050668,730243.9409489224
main-l1-n40-zipf-k1,47,paper,37,True,3,3,2004,3,0.044713,827499.8322635475
main-l1-n40-zipf-k1,47,profile,37,True,3,3,1996,3,0.058287,634789.9188498294
main-l1-n40-zipf-k1,71,accept_id,32,True,3,8,2000,3,0.036202,883929.0646925585
main-l1-n40-zipf-k1,71,accept_static_degree,32,True,3,8,2056,3,0.039296,814332.2475570033
main-l1-n40-zipf-k1,71,adaptive,32,True,3,8,1996,3,0.065398,489311.5997431114
main-l1-n40-zipf-k1,71,graph,32,True,3,8,2008,3,0.053205,601447.2324029696
main-l1-n40-zipf-k1,71,lazy,32,True,3,8,2020,3,0.054682,585201.7117150067
main-l1-n40-zipf-k1,71,paper,32,True,3,8,2004,3,0.038703,826809.2912694106
main-l1-n40-zipf-k1,71,profile,32,True,3,8,2012,3,0.067397,474798.58153923764
main-l1-n40-zipf-k1,101,accept_id,29,True,3,11,2004,3,0.037154,780535.0702481563
main-l1-n40-zipf-k1,101,accept_static_degree,29,True,3,11,2016,3,0.040735,711918.497606481
main-l1-n40-zipf-k1,101,adaptive,29,True,3,11,2052,3,0.074407,389748.27637184673
main-l1-n40-zipf-k1,101,graph,29,True,3,11,1984,3,0.059952,483720.30958099815
main-l1-n40-zipf-k1,101,lazy,29,True,3,11,1996,3,0.052435,553065.7003909602
main-l1-n40-zipf-k1,101,paper,29,True,3,11,1984,3,0.044631,649772.579597141
main-l1-n40-zipf-k1,101,profile,29,True,3,11,1996,3,0.072556,399691.2729477921
main-l2-n40-uniform-k1,11,accept_id,40,True,3,0,2000,3,0.046227,865295.1738161681
main-l2-n40-uniform-k1,11,accept_static_degree,40,True,3,0,2016,3,0.051641,774578.3389167523
main-l2-n40-uniform-k1,11,adaptive,40,True,3,0,2016,3,0.047147,848410.2912168325
main-l2-n40-uniform-k1,11,graph,40,True,3,0,1980,3,0.048724,820950.6608652819
main-l2-n40-uniform-k1,11,lazy,40,True,3,0,2004,3,0.045742,874469.8526518298
main-l2-n40-uniform-k1,11,paper,40,True,3,0,2000,3,0.041064,974089.226573154
main-l2-n40-uniform-k1,11,profile,40,True,3,0,1980,3,0.04614,866926.7446900737
main-l2-n40-uniform-k1,29,accept_id,39,True,3,1,2052,3,0.047424,822368.4210526316
main-l2-n40-uniform-k1,29,accept_static_degree,39,True,3,1,2004,3,0.052877,737560.7542031507
