condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,seed,repetition,status,trace_sha256,id,commit_count,abort_count,batch_ms,selector_ms,effective_commits_per_second,ms_per_commit,peak_rss_kib,runner_peak_rss_kib,read_wall_ms,commit_wall_ms,extract_ms,read_worker_ms,commit_worker_ms,reservation_worker_ms,dependency_worker_ms,apply_worker_ms,sync_wait_ms,selector_initial_core_size,selector_subsets,selector_incidences,selector_profiles,selector_heavy_subsets,selector_profile_links,selector_B,selector_degree_queries,selector_light_scans,selector_heavy_updates,selector_tree_updates,selector_trim_key_visits,selector_switches,selector_switch_round,selector_switch_remaining,selector_switch_queries,selector_graph_bytes,selector_index_payload_bytes,selector_normalize_ms,selector_build_ms,selector_trim_ms,selector_select_ms,selector_switch_ms,selector_certificate_ms,selector_kernel_ms,selector_total_ms,selector_count_ms,selector_sort_ms,selector_initial_degree_evaluations,selector_acceptance_key_visits,selector_degree_requeries
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,29,2,ok,d7d71431e5310b3d17d5a88751db5b8273ad34c15239c18dc931ac790029759b,l2-n128-uniform-w1-s29-r2-measure-accept_id,126,2,0.293681,0.137244,429036.948253,0.0023308015873,8108,8108,0.124147,0.0322,0.100348,0.122501,0.030956,0.017276,0,0.021276,0.00289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100348,0,0,0.003736,0,0.00248,0.030265,0.137244,0,0.000175,0,506,0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,29,2,ok,d7d71431e5310b3d17d5a88751db5b8273ad34c15239c18dc931ac790029759b,l2-n128-uniform-w1-s29-r2-measure-eas_k1_adaptive,126,2,0.308009,0.152171,409078.955485,0.00244451587302,8056,8056,0.124588,0.031155,0.100057,0.122766,0.030226,0.017054,0,0.020576,0.002751,4,10,12,0,0,0,0,5,0,0,0,768,0,0,0,0,0,4928,0.100057,0.008557,0.014391,0.001425,0,0.004203,0.045566,0.152171,0,0,0,0,1
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,29,2,ok,d7d71431e5310b3d17d5a88751db5b8273ad34c15239c18dc931ac790029759b,l2-n128-uniform-w1-s29-r2-measure-native,126,2,0.16697,0,754626.579625,0.00132515873016,8112,8112,0.128119,0.0388,0,0.126296,0.037632,0.018332,0.007301,0.015138,0.002991,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,29,2,ok,d7d71431e5310b3d17d5a88751db5b8273ad34c15239c18dc931ac790029759b,l2-n128-uniform-w1-s29-r2-measure-accept_static_degree,126,2,0.316578,0.15948,398006.178572,0.00251252380952,8052,8052,0.125697,0.031223,0.096312,0.123819,0.029697,0.01786,0,0.01997,0.003404,0,382,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4080,0.096312,0,0,0.00657,0,0.002951,0.056521,0.15948,0.016214,0.005412,128,506,0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,29,2,ok,d7d71431e5310b3d17d5a88751db5b8273ad34c15239c18dc931ac790029759b,l2-n128-uniform-w1-s29-r2-measure-eas_k2_adaptive,126,2,0.303983,0.148756,414496.863311,0.00241256349206,8332,8332,0.127369,0.027762,0.096285,0.125513,0.026533,0.017311,0,0.016942,0.003085,4,10,12,0,0,0,0,4,0,0,0,768,0,0,0,0,0,4928,0.096285,0.008496,0.014935,0.001306,0,0.004165,0.046001,0.148756,0,0,0,0,0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,29,3,ok,d7d71431e5310b3d17d5a88751db5b8273ad34c15239c18dc931ac790029759b,l2-n128-uniform-w1-s29-r3-measure-accept_id,126,2,0.280215,0.131427,449654.729404,0.00222392857143,7948,7948,0.121488,0.027184,0.094491,0.119806,0.026072,0.017508,0,0.016738,0.002794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094491,0,0,0.003945,0,0.002802,0.030443,0.131427,0,0.000179,0,506,0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,29,3,ok,d7d71431e5310b3d17d5a88751db5b8273ad34c15239c18dc931ac790029759b,l2-n128-uniform-w1-s29-r3-measure-eas_k1_adaptive,126,2,0.300896,0.147404,418749.335319,0.00238806349206,7920,7920,0.123611,0.029766,0.09496,0.12181,0.028689,0.017619,0,0.01881,0.002878,4,10,12,0,0,0,0,5,0,0,0,768,0,0,0,0,0,4928,0.09496,0.00852,0.014647,0.001344,0,0.004214,0.046012,0.147404,0,0,0,0,1
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,29,3,ok,d7d71431e5310b3d17d5a88751db5b8273ad34c15239c18dc931ac790029759b,l2-n128-uniform-w1-s29-r3-measure-native,126,2,0.160016,0,787421.257874,0.00126996825397,8364,8364,0.122007,0.037953,0,0.12014,0.036897,0.017191,0.007172,0.014892,0.002923,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,29,3,ok,d7d71431e5310b3d17d5a88751db5b8273ad34c15239c18dc931ac790029759b,l2-n128-uniform-w1-s29-r3-measure-eas_k2_adaptive,126,2,0.307254,0.153718,410084.164893,0.00243852380952,8064,8064,0.122844,0.030575,0.098876,0.121154,0.029523,0.017616,0,0.0197,0.002742,4,10,12,0,0,0,0,4,0,0,0,768,0,0,0,0,0,4928,0.098876,0.0095,0.014685,0.001288,0,0.004778,0.047897,0.153718,0,0,0,0,0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,29,3,ok,d7d71431e5310b3d17d5a88751db5b8273ad34c15239c18dc931ac790029759b,l2-n128-uniform-w1-s29-r3-measure-accept_static_degree,126,2,0.311891,0.158055,403987.290432,0.00247532539683,8040,8040,0.121927,0.031811,0.097097,0.120373,0.030721,0.017267,0,0.021049,0.002644,0,382,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4080,0.097097,0,0,0.006481,0,0.002665,0.054289,0.158055,0.015744,0.005242,128,506,0
