condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,baseline,seed,repetition,commit_delta,batch_delta_ms,extra_cost_us,eas_rate,baseline_rate,rate_ratio
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,29,1,0,-0.011233000000000049,0.1,397086.7697621577,383510.2756404013,1.0354006006725265
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,29,1,0,-0.011233000000000049,1,291322.07042133034,283947.5012619889,1.025971593786054
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,29,1,0,-0.011233000000000049,10,79519.80137720723,78960.03368961437,1.0070892534037317
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,29,1,0,-0.011233000000000049,100,9615.009671097227,9606.774880632009,1.0008571857431383
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,29,1,0,-0.011233000000000049,1000,982.038737515628,981.9527680095126,1.0000875495328452
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,29,1,0,0.015397999999999967,0,409217.1286598139,430758.92200870404,0.9499910686737792
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,29,1,0,0.015397999999999967,0.1,392884.42649787193,412699.34852459986,0.9519870285776649
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,29,1,0,0.015397999999999967,1,289053.8075956917,299638.2937739443,0.9646757894495359
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,29,1,0,0.015397999999999967,10,79349.83516016386,80126.82932413019,0.9903029463349508
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,29,1,0,0.015397999999999967,100,9612.520078532763,9623.825291825317,0.9988252890145298
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,29,1,0,0.015397999999999967,1000,982.0127606323242,982.1306243551699,0.999879991805649
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,29,1,0,-0.00783900000000004,0,409217.1286598139,399057.46427485556,1.0254591513616214
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,29,1,0,-0.00783900000000004,0.1,392884.42649787193,383510.2756404013,1.024443023962832
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,29,1,0,-0.00783900000000004,1,289053.8075956917,283947.5012619889,1.0179832761725605
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,29,1,0,-0.00783900000000004,10,79349.83516016386,78960.03368961437,1.004936693316036
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,29,1,0,-0.00783900000000004,100,9612.520078532763,9606.774880632009,1.0005980360706004
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,29,1,0,-0.00783900000000004,1000,982.0127606323242,981.9527680095126,1.000061095222465
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,29,2,0,0.014327999999999952,0,409078.95548506704,429036.94825337693,0.9534818787762697
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,29,2,0,0.014327999999999952,0.1,392757.0610550203,411118.47063928924,0.9553379113428863
