condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,seed,repetition,baseline,status,commit_delta,batch_delta_ms,selector_delta_ms,batch_speedup,selector_speedup,rate_ratio,baseline_commits,commits,baseline_batch_ms,batch_ms,quality_cost
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,3,accept_static_degree,ok,-2,-0.05433899999999997,-0.059380000000000016,1.176298824544726,1.3946354042055455,1.1576274146309946,126,124,0.36256,0.308221,tradeoff_or_tie
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,29,1,native,ok,0,0.14433999999999997,0.147842,0.5259941348588393,0.0,0.5259941348584898,126,126,0.160171,0.304511,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,29,1,accept_id,ok,0,0.01200399999999996,0.01028599999999999,0.9605794207762611,0.930425724760217,0.9605794207748407,126,126,0.292507,0.304511,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,29,1,accept_static_degree,ok,0,-0.011233000000000049,-0.014231999999999995,1.0368886509846937,1.0962649314809052,1.0368886509834976,126,126,0.315744,0.304511,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,29,1,native,ok,0,0.132336,0.137556,0.5475800579131439,0.0,0.5475800579135898,126,126,0.160171,0.292507,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,29,1,accept_static_degree,ok,0,-0.023237000000000008,-0.024517999999999984,1.0794408338945736,1.178240134926866,1.0794408338949244,126,126,0.315744,0.292507,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,29,1,accept_id,ok,0,-0.132336,-0.137556,1.8262169806019817,,1.8262169806004949,126,126,0.292507,0.160171,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,29,1,accept_static_degree,ok,0,-0.15557300000000002,-0.162074,1.9712931804134333,,1.9712931804124691,126,126,0.315744,0.160171,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,29,1,native,ok,0,0.14773399999999998,0.14917,0.5201961644013576,0.0,0.5201961644016603,126,126,0.160171,0.307905,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,29,1,accept_id,ok,0,0.015397999999999967,0.011613999999999985,0.9499910686737794,0.9221425219548167,0.9499910686735586,126,126,0.292507,0.307905,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,29,1,accept_static_degree,ok,0,-0.00783900000000004,-0.012903999999999999,1.0254591513616214,1.0865053294898437,1.0254591513617166,126,126,0.315744,0.307905,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,29,1,native,ok,0,0.15557300000000002,0.162074,0.5072812151616499,0.0,0.5072812151618981,126,126,0.160171,0.315744,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,29,1,accept_id,ok,0,0.023237000000000008,0.024517999999999984,0.9264055690686125,0.8487234226341055,0.9264055690683114,126,126,0.292507,0.315744,baseline_dominates
