condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,baseline,metric,count,median,minimum,maximum,q1,q3,iqr
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,native,batch_delta_ms,5,0.14560700000000001,0.13984200000000002,0.16041199999999997,0.14332500000000004,0.14723800000000004,0.003913
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,native,selector_delta_ms,5,0.150468,0.14917,0.161377,0.149724,0.152463,0.0027389999999999914
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,native,batch_speedup,5,0.5256688382122746,0.5038426209430497,0.5386122933782045,0.5207938708690529,0.532632183187572,0.011838312318519062
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,native,selector_speedup,5,0.0,0.0,0.0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,native,rate_ratio,5,0.5207938708693334,0.5038426209423551,0.5386122933789286,0.5173248883990765,0.524177704089025,0.006852815689948444
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,commit_delta,5,0,-2,0,-2.0,0.0,2.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,batch_delta_ms,5,0.015397999999999967,0.010970000000000035,0.026897000000000004,0.014110999999999985,0.015702999999999967,0.0015919999999999823
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,selector_delta_ms,5,0.015189000000000008,0.011613999999999985,0.026746999999999993,0.01245300000000002,0.017522999999999983,0.005069999999999963
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,batch_speedup,5,0.9499910686737794,0.9160994690905915,0.9642471865436447,0.9487243956675495,0.9538963181745412,0.005171922506991722
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,selector_speedup,5,0.9002718247715096,0.837032749428789,0.9221425219548167,0.8835657853644924,0.9137006237006235,0.030134838336131176
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,rate_ratio,5,0.9487243956679419,0.9160994690885041,0.9499910686735586,0.9387551067752092,0.9489416756464151,0.010186568871205837
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,commit_delta,5,0,-2,0,-2.0,0.0,2.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,batch_delta_ms,5,-0.0067070000000000185,-0.010084999999999955,0.0009580000000000144,-0.00783900000000004,-0.005195999999999978,0.002643000000000062
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,selector_delta_ms,5,-0.0067010000000000125,-0.010724000000000011,0.0004889999999999894,-0.007730999999999988,-0.003492999999999996,0.004237999999999992
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,batch_speedup,5,1.0221264775452708,0.9970667483159829,1.0332739450328283,1.016934514012691,1.0254591513616214,0.008524637348930275
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,selector_speedup,5,1.0447556837915097,0.997020563594821,1.0720912097663289,1.0228752177500688,1.0518615415576573,0.028986323807588477
