condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,metric,expected_seeds,count,median,minimum,maximum,q1,q3,iqr
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,selector_initial_core_size,5,5,4,4,12,4.0,4.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,selector_initial_degree_evaluations,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,selector_kernel_ms,5,5,0.046787,0.045786,0.057076,0.046313,0.047659,0.001346
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,selector_light_scans,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,selector_normalize_ms,5,5,0.095525,0.093988,0.097785,0.095291,0.097212,0.001921000000000006
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,selector_profile_links,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,selector_profiles,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,selector_select_ms,5,5,0.001425,0.00132,0.002686,0.001424,0.001497,7.300000000000015e-05
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,selector_sort_ms,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,selector_subsets,5,5,10,10,30,10.0,10.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,selector_switch_ms,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,selector_switch_queries,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,selector_switch_remaining,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,selector_switch_round,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,selector_switches,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,selector_total_ms,5,5,0.150783,0.147842,0.158619,0.14862,0.15223,0.003610000000000002
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,selector_tree_updates,5,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,selector_trim_key_visits,5,5,768,768,768,768.0,768.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,selector_trim_ms,5,5,0.014612,0.014452,0.015056,0.014476,0.014959,0.0004830000000000008
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,commit_count,5,5,126,122,126,126.0,126.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,abort_count,5,5,2,2,6,2.0,2.0,0.0
