condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,baseline,seed,repetition,commit_delta,batch_delta_ms,wins_for,crossover_us
l2-n32-zipf-w1,smoke_parallel,2,32,zipf,1,eas_k1_adaptive,eas,1,adaptive,accept_id,11,1,1,0.025064000000000003,c_above,15.26506250000001
l2-n32-zipf-w1,smoke_parallel,2,32,zipf,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,1,0,0.018487000000000003,no_c,
l2-n32-zipf-w1,smoke_parallel,2,32,zipf,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,1,-1,0.026146000000000003,no_c,
l2-n32-zipf-w1,smoke_parallel,2,32,zipf,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,11,1,-2,0.019569000000000003,no_c,
l2-n32-zipf-w1,smoke_parallel,2,32,zipf,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,2,-1,0.024624000000000007,no_c,
l2-n32-zipf-w1,smoke_parallel,2,32,zipf,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,11,2,-2,0.018616000000000008,no_c,
l2-n32-zipf-w1,smoke_parallel,2,32,zipf,1,eas_k1_adaptive,eas,1,adaptive,accept_id,11,2,1,0.025496000000000005,c_above,15.59640625
l2-n32-zipf-w1,smoke_parallel,2,32,zipf,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,2,0,0.019488000000000005,no_c,
l2-n32-zipf-w1,smoke_parallel,2,32,zipf,1,eas_k1_adaptive,eas,1,adaptive,accept_id,11,3,1,0.032824000000000006,c_above,20.996125000000003
l2-n32-zipf-w1,smoke_parallel,2,32,zipf,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,3,0,0.019373,no_c,
l2-n32-zipf-w1,smoke_parallel,2,32,zipf,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,3,-1,0.031196,no_c,
l2-n32-zipf-w1,smoke_parallel,2,32,zipf,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,11,3,-2,0.017744999999999997,no_c,
l2-n32-zipf-w1,smoke_parallel,2,32,zipf,1,eas_k2_adaptive,eas,2,adaptive,accept_id,29,1,0,0.024715,no_c,
l2-n32-zipf-w1,smoke_parallel,2,32,zipf,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,29,1,0,0.010815000000000005,no_c,
l2-n32-zipf-w1,smoke_parallel,2,32,zipf,1,eas_k1_adaptive,eas,1,adaptive,accept_id,29,1,0,0.02606499999999999,no_c,
l2-n32-zipf-w1,smoke_parallel,2,32,zipf,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,29,1,0,0.012164999999999995,no_c,
l2-n32-zipf-w1,smoke_parallel,2,32,zipf,1,eas_k1_adaptive,eas,1,adaptive,accept_id,29,2,0,0.026421,no_c,
l2-n32-zipf-w1,smoke_parallel,2,32,zipf,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,29,2,0,0.019530999999999993,no_c,
l2-n32-zipf-w1,smoke_parallel,2,32,zipf,1,eas_k2_adaptive,eas,2,adaptive,accept_id,29,2,0,0.026226,no_c,
l2-n32-zipf-w1,smoke_parallel,2,32,zipf,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,29,2,0,0.019335999999999992,no_c,
l2-n32-zipf-w1,smoke_parallel,2,32,zipf,1,eas_k2_adaptive,eas,2,adaptive,accept_id,29,3,0,0.03158699999999999,no_c,
l2-n32-zipf-w1,smoke_parallel,2,32,zipf,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,29,3,0,0.02151099999999999,no_c,
l2-n32-zipf-w1,smoke_parallel,2,32,zipf,1,eas_k1_adaptive,eas,1,adaptive,accept_id,29,3,0,0.030638,no_c,
l2-n32-zipf-w1,smoke_parallel,2,32,zipf,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,29,3,0,0.020561999999999997,no_c,
l2-n32-zipf-w1,smoke_parallel,2,32,zipf,1,eas_k2_adaptive,eas,2,adaptive,accept_id,47,1,-1,0.035611000000000004,no_c,
l2-n32-zipf-w1,smoke_parallel,2,32,zipf,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,47,1,-1,0.029766,no_c,
l2-n32-zipf-w1,smoke_parallel,2,32,zipf,1,eas_k1_adaptive,eas,1,adaptive,accept_id,47,1,0,0.036750000000000005,no_c,
l2-n32-zipf-w1,smoke_parallel,2,32,zipf,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,47,1,0,0.030905000000000002,no_c,
l2-n32-zipf-w1,smoke_parallel,2,32,zipf,1,eas_k2_adaptive,eas,2,adaptive,accept_id,47,2,-1,0.038315,no_c,
l2-n32-zipf-w1,smoke_parallel,2,32,zipf,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,47,2,-1,0.033657999999999993,no_c,
l2-n32-zipf-w1,smoke_parallel,2,32,zipf,1,eas_k1_adaptive,eas,1,adaptive,accept_id,47,2,0,0.034212000000000006,no_c,
l2-n32-zipf-w1,smoke_parallel,2,32,zipf,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,47,2,0,0.029554999999999998,no_c,
l2-n32-zipf-w1,smoke_parallel,2,32,zipf,1,eas_k1_adaptive,eas,1,adaptive,accept_id,47,3,0,0.036079,no_c,
l2-n32-zipf-w1,smoke_parallel,2,32,zipf,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,47,3,0,0.029322,no_c,
l2-n32-zipf-w1,smoke_parallel,2,32,zipf,1,eas_k2_adaptive,eas,2,adaptive,accept_id,47,3,-1,0.035314,no_c,
l2-n32-zipf-w1,smoke_parallel,2,32,zipf,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,47,3,-1,0.028557,no_c,
l2-n32-zipf-w1,smoke_parallel,2,32,zipf,1,eas_k1_adaptive,eas,1,adaptive,accept_id,71,1,0,0.034834000000000004,no_c,
l2-n32-zipf-w1,smoke_parallel,2,32,zipf,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,71,1,0,0.026961,no_c,
l2-n32-zipf-w1,smoke_parallel,2,32,zipf,1,eas_k2_adaptive,eas,2,adaptive,accept_id,71,1,-2,0.036879999999999996,no_c,
l2-n32-zipf-w1,smoke_parallel,2,32,zipf,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,71,1,-2,0.02900699999999999,no_c,
