condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,seed,repetition,baseline,status,commit_delta,batch_delta_ms,selector_delta_ms,batch_speedup,selector_speedup,rate_ratio,baseline_commits,commits,baseline_batch_ms,batch_ms,quality_cost
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,11,3,accept_static_degree,ok,-2,-0.008438999999999974,-0.003691,1.0276247434424377,1.0243043209144904,1.011313239578121,126,124,0.313926,0.305487,tradeoff_or_tie
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,29,1,native,ok,0,0.143728,0.150071,0.5475826988029173,0.0,0.5475826988034952,126,126,0.173961,0.317689,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,29,1,accept_id,ok,0,0.018419999999999992,0.015758000000000022,0.9420187667813491,0.8949963683856307,0.94201876678136,126,126,0.299269,0.317689,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,29,1,accept_static_degree,ok,0,-0.0070230000000000015,-0.004825999999999997,1.0221065255643098,1.0321581118270684,1.0221065255635917,126,126,0.324712,0.317689,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,29,1,native,ok,0,0.125308,0.134313,0.5812864011975848,0.0,0.5812864011981915,126,126,0.173961,0.299269,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,29,1,accept_static_degree,ok,0,-0.025442999999999993,-0.02058400000000002,1.0850171584761534,1.1532539664812789,1.0850171584753787,126,126,0.324712,0.299269,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,29,1,accept_id,ok,0,-0.125308,-0.134313,1.7203223711061675,,1.7203223711043718,126,126,0.299269,0.173961,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,29,1,accept_static_degree,ok,0,-0.150751,-0.154897,1.8665792907605727,,1.8665792907572916,126,126,0.324712,0.173961,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,29,1,native,ok,0,0.15025799999999997,0.151587,0.5365539959101718,0.0,0.5365539959111293,126,126,0.173961,0.324219,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,29,1,accept_id,ok,0,0.024949999999999972,0.01727400000000001,0.9230458424706758,0.8860456371588592,0.9230458424713593,126,126,0.299269,0.324219,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,29,1,accept_static_degree,ok,0,-0.0004930000000000212,-0.0033100000000000074,1.0015205771407598,1.0218356455368864,1.0015205771407865,126,126,0.324712,0.324219,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,29,1,native,ok,0,0.150751,0.154897,0.5357393628815689,0.0,0.5357393628825107,126,126,0.173961,0.324712,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,29,1,accept_id,ok,0,0.025442999999999993,0.02058400000000002,0.9216444110473281,0.867111693577022,0.9216444110479862,126,126,0.299269,0.324712,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,29,2,native,ok,0,0.13289399999999998,0.135226,0.5670923187178318,0.0,0.567092318717545,126,126,0.174086,0.30698,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,29,2,accept_static_degree,ok,0,-0.01760600000000001,-0.021148,1.057352270506222,1.1563900433348617,1.0573522705059972,126,126,0.324586,0.30698,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,29,2,native,ok,0,0.13784900000000003,0.148209,0.5580842162630034,0.0,0.558084216262302,126,126,0.174086,0.311935,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,29,2,accept_id,ok,0,0.004955000000000043,0.012982999999999995,0.9841152804270119,0.9124007313995777,0.9841152804262727,126,126,0.30698,0.311935,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,29,2,accept_static_degree,ok,0,-0.012650999999999968,-0.008165000000000006,1.0405565261993683,1.055091121321917,1.0405565261983658,126,126,0.324586,0.311935,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,29,2,accept_id,ok,0,-0.13289399999999998,-0.135226,1.763381317279965,,1.763381317280857,126,126,0.30698,0.174086,variant_dominates
