condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,baseline,seed,repetition,commit_delta,batch_delta_ms,extra_cost_us,eas_rate,baseline_rate,rate_ratio
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,29,1,0,0.024949999999999972,1,278626.0639203572,294896.1895199511,0.9448276167078342
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,29,1,0,0.024949999999999972,10,78542.89221110084,79783.7480505221,0.9844472606296272
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,29,1,0,0.024949999999999972,100,9600.571279708149,9618.857357612855,0.9980989344965976
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,29,1,0,0.024949999999999972,1000,981.8879162631023,982.0788612599188,0.9998055706070574
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,29,1,0,-0.0004930000000000212,0,388626.2063605156,388036.1674345266,1.0015205771407598
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,29,1,0,-0.0004930000000000212,0.1,373866.1618484418,373320.0597312096,1.001462825538026
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,29,1,0,-0.0004930000000000212,1,278626.0639203572,278322.6422096167,1.0010901797580376
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,29,1,0,-0.0004930000000000212,10,78542.89221110084,78518.76224518791,1.000307314649683
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,29,1,0,-0.0004930000000000212,100,9600.571279708149,9600.210656050967,1.000037564140007
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,29,1,0,-0.0004930000000000212,1000,981.8879162631023,981.8841440298731,1.0000038418312915
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,29,2,0,0.004955000000000043,0,403930.3059932357,410450.1921949313,0.9841152804270118
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,29,2,0,0.004955000000000043,0.1,388008.6840038801,394020.8893614361,0.9847414045298472
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,29,2,0,0.004955000000000043,1,286405.946332981,289668.4905053106,0.9887369725073022
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,29,2,0,0.004955000000000043,10,79148.96022764748,79396.08564695207,0.9968874357307301
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,29,2,0,0.004955000000000043,100,9609.565636193285,9613.19846371933,0.9996221000180371
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,29,2,0,0.004955000000000043,1000,981.9819177382057,982.0198402300482,0.9999613831714096
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,29,2,0,-0.012650999999999968,0,403930.3059932357,388186.79795185255,1.0405565261993683
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,29,2,0,-0.012650999999999968,0.1,388008.6840038801,373459.4796464584,1.0389579195343894
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,29,2,0,-0.012650999999999968,1,286405.946332981,278400.1272686296,1.028756520849671
