condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,baseline,metric,count,median,minimum,maximum,q1,q3,iqr
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,rate_ratio,5,1.0166412669700433,1.007567650678082,1.0368607439447382,1.011313239578121,1.0205400220086451,0.009226782430524105
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,native,commit_delta,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,native,batch_delta_ms,5,0.153825,0.146908,0.15844199999999997,0.150751,0.156771,0.006019999999999998
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,native,selector_delta_ms,5,0.157685,0.156374,0.161584,0.156727,0.158521,0.00179399999999999
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,native,batch_speedup,5,0.5311857123264709,0.5164453505299685,0.5440641565180688,0.521308462010571,0.5357393628815689,0.014430900870997854
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,native,selector_speedup,5,0.0,0.0,0.0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,native,rate_ratio,5,0.5311857123268036,0.5164453505301678,0.544064156518081,0.5213084620107504,0.5357393628825107,0.014430900871760244
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,accept_id,commit_delta,5,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,accept_id,batch_delta_ms,5,0.026427000000000034,0.02318300000000001,0.027465000000000017,0.025442999999999993,0.02675500000000003,0.0013120000000000354
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,accept_id,selector_delta_ms,5,0.024382999999999988,0.021148,0.025448,0.021566000000000002,0.024886999999999992,0.0033209999999999906
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,accept_id,batch_speedup,5,0.9202425288674541,0.9154917876417701,0.9261513859954257,0.9179105622459154,0.9216444110473281,0.003733848801412698
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,accept_id,selector_speedup,5,0.8447355415769275,0.8412079603386782,0.8647601263637178,0.8443224261771748,0.8632336620477534,0.018911235870578635
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,accept_id,rate_ratio,5,0.920242528867611,0.9154917876427799,0.9261513859948829,0.9179105622460024,0.9216444110479862,0.0037338488019837968
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k1_adaptive,eas,1,adaptive,native,commit_delta,5,5,5,7,5.0,6.0,1.0
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k1_adaptive,eas,1,adaptive,native,batch_delta_ms,5,0.278665,0.268628,0.29425500000000004,0.27392299999999997,0.29177200000000003,0.01784900000000006
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k1_adaptive,eas,1,adaptive,native,selector_delta_ms,5,0.283248,0.274023,0.293093,0.276178,0.290634,0.014456000000000024
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k1_adaptive,eas,1,adaptive,native,batch_speedup,5,0.34917205782749844,0.316315193378493,0.3580237927127235,0.3257443406080438,0.3512223659092309,0.02547802530118709
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k1_adaptive,eas,1,adaptive,native,selector_speedup,5,0.0,0.0,0.0,0.0,0.0,0.0
