condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,seed,repetition,status,trace_sha256,id,commit_count,abort_count,batch_ms,selector_ms,effective_commits_per_second,ms_per_commit,peak_rss_kib,runner_peak_rss_kib,read_wall_ms,commit_wall_ms,extract_ms,read_worker_ms,commit_worker_ms,reservation_worker_ms,dependency_worker_ms,apply_worker_ms,sync_wait_ms,selector_initial_core_size,selector_subsets,selector_incidences,selector_profiles,selector_heavy_subsets,selector_profile_links,selector_B,selector_degree_queries,selector_light_scans,selector_heavy_updates,selector_tree_updates,selector_trim_key_visits,selector_switches,selector_switch_round,selector_switch_remaining,selector_switch_queries,selector_graph_bytes,selector_index_payload_bytes,selector_normalize_ms,selector_build_ms,selector_trim_ms,selector_select_ms,selector_switch_ms,selector_certificate_ms,selector_kernel_ms,selector_total_ms,selector_count_ms,selector_sort_ms,selector_initial_degree_evaluations,selector_acceptance_key_visits,selector_degree_requeries
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,29,2,ok,d7d71431e5310b3d17d5a88751db5b8273ad34c15239c18dc931ac790029759b,l2-n128-uniform-w1-s29-r2-measure-accept_static_degree,126,2,0.324586,0.156374,388186.797952,0.00257607936508,8060,8060,0.136057,0.032054,0.095151,0.134242,0.030877,0.017558,0,0.02127,0.002992,0,382,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4080,0.095151,0,0,0.006266,0,0.002953,0.054635,0.156374,0.015742,0.005306,128,506,0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,29,2,ok,d7d71431e5310b3d17d5a88751db5b8273ad34c15239c18dc931ac790029759b,l2-n128-uniform-w1-s29-r2-measure-eas_k2_adaptive,126,2,0.316815,0.155329,397708.441835,0.0025144047619,8240,8240,0.132345,0.029029,0.103114,0.130482,0.027795,0.017461,0,0.018004,0.003097,4,10,12,0,0,0,0,4,0,0,0,768,0,0,0,0,0,4928,0.103114,0.008786,0.014489,0.001211,0,0.004255,0.045836,0.155329,0,0,0,0,0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,29,3,ok,d7d71431e5310b3d17d5a88751db5b8273ad34c15239c18dc931ac790029759b,l2-n128-uniform-w1-s29-r3-measure-accept_id,126,2,0.298034,0.131128,422770.556379,0.00236534920635,8044,8044,0.134721,0.032091,0.09344,0.132864,0.031018,0.017315,0,0.021449,0.00293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09344,0,0,0.004163,0,0.002554,0.031198,0.131128,0,0.000193,0,506,0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,29,3,ok,d7d71431e5310b3d17d5a88751db5b8273ad34c15239c18dc931ac790029759b,l2-n128-uniform-w1-s29-r3-measure-eas_k1_adaptive,126,2,0.301765,0.146294,417543.452687,0.00239496031746,8196,8196,0.123536,0.031809,0.095354,0.121886,0.030791,0.017196,0,0.021349,0.002668,4,10,12,0,0,0,0,5,0,0,0,768,0,0,0,0,0,4928,0.095354,0.00798,0.014344,0.001232,0,0.004107,0.044327,0.146294,0,0,0,0,1
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,29,3,ok,d7d71431e5310b3d17d5a88751db5b8273ad34c15239c18dc931ac790029759b,l2-n128-uniform-w1-s29-r3-measure-native,126,2,0.173043,0,728142.715972,0.00137335714286,8252,8252,0.134227,0.03875,0,0.132416,0.037546,0.017477,0.007391,0.015123,0.003015,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,29,3,ok,d7d71431e5310b3d17d5a88751db5b8273ad34c15239c18dc931ac790029759b,l2-n128-uniform-w1-s29-r3-measure-eas_k2_adaptive,126,2,0.318987,0.153881,395000.423215,0.00253164285714,8008,8008,0.133875,0.031108,0.100098,0.131907,0.030093,0.017434,0,0.020467,0.002983,4,10,12,0,0,0,0,4,0,0,0,768,0,0,0,0,0,4928,0.100098,0.009182,0.014496,0.00115,0,0.004312,0.047073,0.153881,0,0,0,0,0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,29,3,ok,d7d71431e5310b3d17d5a88751db5b8273ad34c15239c18dc931ac790029759b,l2-n128-uniform-w1-s29-r3-measure-accept_static_degree,126,2,0.325539,0.158466,387050.399491,0.00258364285714,8296,8296,0.134851,0.032117,0.097921,0.133006,0.030978,0.017737,0,0.020964,0.002984,0,382,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4080,0.097921,0,0,0.006273,0,0.002527,0.054045,0.158466,0.015783,0.005099,128,506,0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,47,1,ok,39076b57dbb878002df0ed7b8104acbb9a71cf096e0939e6c8b9347a3ff09945,l2-n128-uniform-w1-s47-r1-measure-eas_k1_adaptive,122,6,0.348307,0.186813,350265.713867,0.00285497540984,8044,8044,0.133915,0.027485,0.124991,0.13209,0.026155,0.017548,0,0.016872,0.003155,12,30,36,0,0,0,0,17,0,0,0,768,0,0,0,0,0,6976,0.124991,0.01547,0.014799,0.002578,0,0.005647,0.055396,0.186813,0,0,0,0,5
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,47,1,ok,39076b57dbb878002df0ed7b8104acbb9a71cf096e0939e6c8b9347a3ff09945,l2-n128-uniform-w1-s47-r1-measure-native,122,6,0.172025,0,709199.244296,0.00141004098361,8104,8104,0.132327,0.03953,0,0.130531,0.037869,0.018347,0.007253,0.015067,0.003457,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,47,1,ok,39076b57dbb878002df0ed7b8104acbb9a71cf096e0939e6c8b9347a3ff09945,l2-n128-uniform-w1-s47-r1-measure-accept_static_degree,122,6,0.326767,0.156625,373354.714521,0.00267841803279,8120,8120,0.138087,0.031946,0.095568,0.136121,0.030623,0.017655,0,0.021107,0.003289,0,378,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4048,0.095568,0,0,0.006415,0,0.002775,0.054546,0.156625,0.016602,0.004571,128,494,0
