condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,baseline,seed,repetition,commit_delta,batch_delta_ms,extra_cost_us,eas_rate,baseline_rate,rate_ratio
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,11,2,-2,-0.007790000000000019,10,77829.51069088755,78700.02548381778,0.9889388245101747
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,11,2,-2,-0.007790000000000019,100,9456.101801341638,9602.9148962245,0.9847116113732735
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,11,2,-2,-0.007790000000000019,1000,966.3851799657816,981.9124250076076,0.9841867312742216
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,11,3,0,0.01568799999999998,0,404587.89832641894,426049.908703591,0.9496255956432947
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,11,3,0,0.01568799999999998,0.1,388615.41877937753,408374.9270759059,0.9516142961126122
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,11,3,0,0.01568799999999998,1,286736.39367541444,297352.14990324253,0.964299043301747
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,11,3,0,0.01568799999999998,10,79174.17564602356,79962.43035018467,0.9901421867655966
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,11,3,0,0.01568799999999998,100,9609.937224229123,9621.44941790231,0.9988034865462405
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,11,3,0,0.01568799999999998,1000,981.985797866734,982.1058750664675,0.9998777349746274
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,3,0,0.0046720000000000095,0,404587.89832641894,410749.91198216175,0.9849981376112615
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,3,0,0.0046720000000000095,0.1,388615.41877937753,394297.0872085019,0.9855903870116091
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,3,0,0.0046720000000000095,1,286736.39367541444,289817.73684549495,0.9893679965773688
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,3,0,0.0046720000000000095,10,79174.17564602356,79407.29387505073,0.9970642718363633
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,3,0,0.0046720000000000095,100,9609.937224229123,9613.36275734438,0.9996436696292731
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,3,0,0.0046720000000000095,1000,981.985797866734,982.021554656093,0.9999635885900982
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,3,-2,0.012131000000000003,0,402766.0935911469,426049.908703591,0.945349559671792
