condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,seed,repetition,baseline,status,commit_delta,batch_delta_ms,selector_delta_ms,batch_speedup,selector_speedup,rate_ratio,baseline_commits,commits,baseline_batch_ms,batch_ms,quality_cost
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,29,3,native,ok,0,0.12881700000000001,0.133966,0.5586433500304934,0.0,0.5586433500312913,126,126,0.163049,0.291866,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,29,3,accept_static_degree,ok,0,-0.017977999999999994,-0.019973999999999992,1.0615967601570584,1.149097532209665,1.0615967601581207,126,126,0.309844,0.291866,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,29,3,native,ok,0,0.14483600000000002,0.152136,0.5295776020267308,0.0,0.5295776020270793,126,126,0.163049,0.307885,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,29,3,accept_id,ok,0,0.016019000000000005,0.01816999999999999,0.9479708332656673,0.8805673870747227,0.9479708332649374,126,126,0.291866,0.307885,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,29,3,accept_static_degree,ok,0,-0.0019589999999999885,-0.001804,1.0063627653182194,1.0118578114318768,1.0063627653184515,126,126,0.309844,0.307885,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,29,3,accept_id,ok,0,-0.12881700000000001,-0.133966,1.7900508436114297,,1.7900508436088731,126,126,0.291866,0.163049,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,29,3,accept_static_degree,ok,0,-0.146795,-0.15394,1.900312176094303,,1.9003121760934902,126,126,0.309844,0.163049,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,29,3,native,ok,0,0.14076499999999997,0.149314,0.5366737543365349,0.0,0.5366737543373102,126,126,0.163049,0.303814,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,29,3,accept_id,ok,0,0.011947999999999959,0.015348,0.9606733066942276,0.8972099066396989,0.9606733066942432,126,126,0.291866,0.303814,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,29,3,accept_static_degree,ok,0,-0.006030000000000035,-0.004625999999999991,1.01984766995596,1.030981689593742,1.0198476699569972,126,126,0.309844,0.303814,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,29,3,native,ok,0,0.146795,0.15394,0.5262293283071481,0.0,0.5262293283073731,126,126,0.163049,0.309844,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,29,3,accept_id,ok,0,0.017977999999999994,0.019973999999999992,0.9419772530692865,0.8702481486293362,0.9419772530683439,126,126,0.291866,0.309844,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,47,1,native,ok,0,0.15721600000000002,0.163996,0.508285115566259,0.0,0.5082851155660163,122,122,0.162514,0.31973,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,47,1,accept_id,ok,0,0.03511000000000003,0.030154000000000014,0.8901885966284051,0.8161296616990658,0.890188596628964,122,122,0.28462,0.31973,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,47,1,accept_static_degree,ok,0,-0.00121899999999997,-0.001679999999999987,1.0038125918743939,1.0102441522963974,1.0038125918742915,122,122,0.320949,0.31973,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,47,1,accept_id,ok,0,-0.12210599999999999,-0.133842,1.751356806182852,,1.7513568061847877,122,122,0.28462,0.162514,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,47,1,accept_static_degree,ok,0,-0.158435,-0.165676,1.9749006239462445,,1.9749006239469862,122,122,0.320949,0.162514,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,47,1,native,ok,0,0.158435,0.165676,0.5063545921626177,0.0,0.5063545921624276,122,122,0.162514,0.320949,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,47,1,accept_id,ok,0,0.036329,0.031834,0.8868075613259427,0.8078538834834255,0.88680756132659,122,122,0.28462,0.320949,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,47,1,native,ok,0,0.164275,0.1665,0.4973056008617181,0.0,0.4973056008613818,122,122,0.162514,0.326789,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,47,1,accept_id,ok,0,0.04216900000000001,0.03265800000000002,0.8709595488220228,0.8038558558558557,0.8709595488223966,122,122,0.28462,0.326789,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,47,1,accept_static_degree,ok,0,0.005840000000000012,0.0008240000000000192,0.9821291414337692,0.995051051051051,0.9821291414334739,122,122,0.320949,0.326789,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,47,1,native,ok,0,0.12210599999999999,0.133842,0.5709858759047151,0.0,0.5709858759040839,122,122,0.162514,0.28462,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,47,1,accept_static_degree,ok,0,-0.036329,-0.031834,1.1276403625887148,1.2378476113626515,1.1276403625878917,122,122,0.320949,0.28462,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,47,2,native,ok,0,0.156203,0.164357,0.5067419065543332,0.0,0.5067419065549414,122,122,0.160473,0.316676,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,47,2,accept_id,ok,0,0.024673,0.028168,0.9220875595245613,0.828616974026053,0.922087559525128,122,122,0.292003,0.316676,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,47,2,accept_static_degree,ok,0,-0.010938000000000003,-0.005620999999999987,1.0345400346095062,1.034199942807425,1.0345400346100557,122,122,0.327614,0.316676,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,47,2,accept_id,ok,0,-0.13153,-0.136189,1.8196394409028311,,1.8196394409017649,122,122,0.292003,0.160473,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,47,2,accept_static_degree,ok,0,-0.167141,-0.169978,2.041552161422794,,2.0415521614214276,122,122,0.327614,0.160473,variant_dominates
