condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,seed,repetition,status,trace_sha256,id,commit_count,abort_count,batch_ms,selector_ms,effective_commits_per_second,ms_per_commit,peak_rss_kib,runner_peak_rss_kib,read_wall_ms,commit_wall_ms,extract_ms,read_worker_ms,commit_worker_ms,reservation_worker_ms,dependency_worker_ms,apply_worker_ms,sync_wait_ms,selector_initial_core_size,selector_subsets,selector_incidences,selector_profiles,selector_heavy_subsets,selector_profile_links,selector_B,selector_degree_queries,selector_light_scans,selector_heavy_updates,selector_tree_updates,selector_trim_key_visits,selector_switches,selector_switch_round,selector_switch_remaining,selector_switch_queries,selector_graph_bytes,selector_index_payload_bytes,selector_normalize_ms,selector_build_ms,selector_trim_ms,selector_select_ms,selector_switch_ms,selector_certificate_ms,selector_kernel_ms,selector_total_ms,selector_count_ms,selector_sort_ms,selector_initial_degree_evaluations,selector_acceptance_key_visits,selector_degree_requeries
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,47,1,ok,39076b57dbb878002df0ed7b8104acbb9a71cf096e0939e6c8b9347a3ff09945,l2-n128-uniform-w1-s47-r1-measure-eas_k1_adaptive,122,6,0.31973,0.163996,381571.951334,0.00262073770492,8044,8044,0.124288,0.031332,0.098925,0.122189,0.030176,0.017829,0,0.020787,0.003255,12,30,36,0,0,0,0,17,0,0,0,768,0,0,0,0,0,6976,0.098925,0.016282,0.014817,0.00266,0,0.005844,0.058406,0.163996,0,0,0,0,5
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,47,1,ok,39076b57dbb878002df0ed7b8104acbb9a71cf096e0939e6c8b9347a3ff09945,l2-n128-uniform-w1-s47-r1-measure-native,122,6,0.162514,0,750704.554685,0.00133208196721,8272,8272,0.125053,0.037408,0,0.123098,0.036529,0.017463,0.00742,0.014385,0.002834,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,47,1,ok,39076b57dbb878002df0ed7b8104acbb9a71cf096e0939e6c8b9347a3ff09945,l2-n128-uniform-w1-s47-r1-measure-accept_static_degree,122,6,0.320949,0.165676,380122.698622,0.0026307295082,8172,8172,0.126402,0.028692,0.097892,0.124399,0.02741,0.018454,0,0.017513,0.003285,0,378,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4048,0.097892,0,0,0.006425,0,0.002835,0.061089,0.165676,0.017679,0.005024,128,494,0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,47,1,ok,39076b57dbb878002df0ed7b8104acbb9a71cf096e0939e6c8b9347a3ff09945,l2-n128-uniform-w1-s47-r1-measure-eas_k2_adaptive,122,6,0.326789,0.1665,373329.579637,0.00267859836066,8328,8328,0.129257,0.030945,0.101132,0.1272,0.029817,0.017638,0,0.020185,0.003185,12,30,36,0,0,0,0,16,0,0,0,768,0,0,0,0,0,6976,0.101132,0.017026,0.014804,0.002741,0,0.006129,0.058675,0.1665,0,0,0,0,4
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,47,1,ok,39076b57dbb878002df0ed7b8104acbb9a71cf096e0939e6c8b9347a3ff09945,l2-n128-uniform-w1-s47-r1-measure-accept_id,122,6,0.28462,0.133842,428641.697702,0.00233295081967,8184,8184,0.121344,0.02932,0.096376,0.119612,0.028246,0.017264,0,0.018765,0.002806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096376,0,0,0.00413,0,0.002869,0.0311,0.133842,0,0.000201,0,494,0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,47,2,ok,39076b57dbb878002df0ed7b8104acbb9a71cf096e0939e6c8b9347a3ff09945,l2-n128-uniform-w1-s47-r2-measure-eas_k1_adaptive,122,6,0.316676,0.164357,385251.803105,0.00259570491803,8148,8148,0.124072,0.028149,0.100311,0.122517,0.026962,0.017824,0,0.017297,0.002742,12,30,36,0,0,0,0,17,0,0,0,768,0,0,0,0,0,6976,0.100311,0.016692,0.015001,0.00252,0,0.005621,0.057413,0.164357,0,0,0,0,5
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,47,2,ok,39076b57dbb878002df0ed7b8104acbb9a71cf096e0939e6c8b9347a3ff09945,l2-n128-uniform-w1-s47-r2-measure-native,122,6,0.160473,0,760252.503536,0.00131535245902,8268,8268,0.122648,0.037748,0,0.120865,0.036414,0.017463,0.007233,0.014411,0.003117,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,47,2,ok,39076b57dbb878002df0ed7b8104acbb9a71cf096e0939e6c8b9347a3ff09945,l2-n128-uniform-w1-s47-r2-measure-eas_k2_adaptive,122,6,0.31771,0.163297,383997.985584,0.00260418032787,8016,8016,0.123568,0.030668,0.098209,0.121924,0.029557,0.017691,0,0.020241,0.002755,12,30,36,0,0,0,0,16,0,0,0,768,0,0,0,0,0,6976,0.098209,0.016759,0.015195,0.002792,0,0.005768,0.058622,0.163297,0,0,0,0,4
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,47,2,ok,39076b57dbb878002df0ed7b8104acbb9a71cf096e0939e6c8b9347a3ff09945,l2-n128-uniform-w1-s47-r2-measure-accept_id,122,6,0.292003,0.136189,417803.926672,0.00239346721311,8120,8120,0.125374,0.030322,0.096341,0.123555,0.029202,0.017551,0,0.019504,0.002939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096341,0,0,0.004178,0,0.00272,0.033362,0.136189,0,0.000204,0,494,0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,47,2,ok,39076b57dbb878002df0ed7b8104acbb9a71cf096e0939e6c8b9347a3ff09945,l2-n128-uniform-w1-s47-r2-measure-accept_static_degree,122,6,0.327614,0.169978,372389.458326,0.00268536065574,8136,8136,0.127561,0.029888,0.10762,0.125682,0.028581,0.018182,0,0.018795,0.003186,0,378,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4048,0.10762,0,0,0.006366,0,0.002761,0.055732,0.169978,0.017204,0.0048,128,494,0
