condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,baseline,seed,metric,count,median,minimum,maximum,q1,q3,iqr
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,native,11,selector_speedup,3,0.0,0.0,0.0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,native,11,rate_ratio,3,0.5648575780819179,0.5546899303449475,0.579052800705999,0.5597737542134327,0.5719551893939585,0.012181435180525835
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,accept_static_degree,11,commit_delta,3,0,0,0,0.0,0.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,accept_static_degree,11,batch_delta_ms,3,-0.029824000000000017,-0.03098200000000001,-0.01101599999999997,-0.030403000000000013,-0.020419999999999994,0.00998300000000002
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,accept_static_degree,11,selector_delta_ms,3,-0.022757,-0.03101100000000001,-0.015875,-0.026884000000000005,-0.019316,0.007568000000000005
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,accept_static_degree,11,batch_speedup,3,1.1034862054248369,1.037248934875228,1.1068219588048298,1.0703675701500326,1.1051540821148333,0.03478651196480076
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,accept_static_degree,11,selector_speedup,3,1.17034702676807,1.1134260747790425,1.2329552283653846,1.1418865507735563,1.2016511275667274,0.059764576793171154
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,accept_static_degree,11,rate_ratio,3,1.1034862054265941,1.0372489348766325,1.1068219588030468,1.0703675701516133,1.1051540821148205,0.034786511963207145
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,native,11,commit_delta,3,-2,-2,-2,-2.0,-2.0,0.0
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,native,11,batch_delta_ms,3,0.14440800000000004,0.143827,0.145281,0.1441175,0.14484450000000001,0.0007270000000000054
