condition,mode,commit_count_count,commit_count_maximum,commit_count_median,commit_count_minimum,complete,complete_seeds,expected_seeds,fvs_size_count,fvs_size_maximum,fvs_size_median,fvs_size_minimum,peak_rss_kib_count,peak_rss_kib_maximum,peak_rss_kib_median,peak_rss_kib_minimum,total_ms_count,total_ms_maximum,total_ms_median,total_ms_minimum,validator_commits_per_second_count,validator_commits_per_second_maximum,validator_commits_per_second_median,validator_commits_per_second_minimum
main-l2-n128-zipf-k1,profile,5,70,63,60,True,5,5,5,68,65,58,5,3976,3960,3908,5,0.378453,0.369376,0.330925,5,211528.29190904283,180734.81612384063,158540.16218658592
main-l2-n2048-uniform-k1,accept_id,5,1364,1357,1345,True,5,5,5,703,691,684,5,4732,4456,4432,5,1.590196,1.413088,1.409437,5,964924.292465715,957051.9412415278,857755.899272794
main-l2-n2048-uniform-k1,accept_static_degree,5,1409,1407,1394,True,5,5,5,654,641,639,5,4712,4660,4592,5,2.085872,1.858989,1.838597,5,764713.5288483555,753848.0002400312,675496.866538311
main-l2-n2048-uniform-k1,adaptive,5,1403,1402,1386,True,5,5,5,662,646,645,5,5320,5232,5168,5,3.628053,3.217798,3.193647,5,439309.6669732128,434635.3158412008,386433.1640138664
main-l2-n2048-uniform-k1,graph,5,1403,1402,1386,True,5,5,5,662,646,645,5,5048,5032,5000,5,3.220042,2.839279,2.825554,5,496539.79361215536,493435.1291296136,435398.04760310584
main-l2-n2048-uniform-k1,lazy,5,1403,1402,1386,True,5,5,5,662,646,645,5,5304,5248,5072,5,3.654755,3.216882,3.192461,5,439472.87061611714,435514.88677545526,383609.84525638516
main-l2-n2048-uniform-k1,paper,5,1403,1402,1386,True,5,5,5,662,646,645,5,5296,5252,5136,5,7.553545,7.257046,7.056434,5,198542.20984707004,193329.3519153661,183490.00370024936
main-l2-n2048-uniform-k1,profile,5,1403,1402,1386,True,5,5,5,662,646,645,5,5540,5520,5448,5,4.436018,3.837418,3.785196,5,370654.5182865035,365089.23448005924,316049.2135063474
main-l2-n2048-zipf-k1,accept_id,5,413,408,392,True,5,5,5,1656,1640,1635,5,4584,4576,4508,5,1.228335,1.217929,1.210612,5,336724.2196028937,334994.8970752811,323803.16732363467
main-l2-n2048-zipf-k1,accept_static_degree,5,447,433,423,True,5,5,5,1625,1615,1601,5,4644,4604,4532,5,1.713072,1.705073,1.692067,5,261160.9803293783,254694.94545234236,249990.10086480028
main-l2-n2048-zipf-k1,adaptive,5,445,433,422,True,5,5,5,1626,1615,1603,5,5228,5220,5152,5,9.147164,8.664661,8.326879,5,53441.391426487644,49816.80744527437,46134.51775872828
main-l2-n2048-zipf-k1,graph,5,445,433,422,True,5,5,5,1626,1615,1603,5,5104,5080,4980,5,38.911152,36.491837,35.126514,5,12512.41857543612,12084.894492979349,10845.219899940254
main-l2-n2048-zipf-k1,lazy,5,445,433,422,True,5,5,5,1626,1615,1603,5,5344,5212,5176,5,9.072503,8.663393,8.295428,5,53644.00727726165,49978.50697540162,46514.17585643125
main-l2-n2048-zipf-k1,paper,5,445,433,422,True,5,5,5,1626,1615,1603,5,7828,7604,7544,5,40.782592,40.522035,36.731614,5,11733.761549383591,10882.96774828806,10347.55221051178
main-l2-n2048-zipf-k1,profile,5,445,433,422,True,5,5,5,1626,1615,1603,5,5540,5360,5256,5,8.887505,8.47282,8.269403,5,53329.12182415103,50533.52384391991,48860.269334053715
main-l2-n40-uniform-k1,accept_id,5,40,39,39,True,5,5,5,1,1,0,5,2012,2004,1984,5,0.053509,0.052991,0.050579,5,788519.1610156127,754845.1623860655,728849.352445383
main-l2-n40-uniform-k1,accept_static_degree,5,40,39,39,True,5,5,5,1,1,0,5,2004,1984,1956,5,0.060322,0.058963,0.055886,5,715742.7620513188,678391.5336736598,646530.2874573125
main-l2-n40-uniform-k1,adaptive,5,40,39,39,True,5,5,5,1,1,0,5,2016,1996,1980,5,0.06385,0.061639,0.053273,5,750849.3983819195,632716.2997452911,610806.577916993
main-l2-n40-uniform-k1,graph,5,40,39,39,True,5,5,5,1,1,0,5,2040,2000,1984,5,0.066342,0.063564,0.051926,5,770327.0038131187,613554.8423636021,587862.8922854301
main-l2-n40-uniform-k1,lazy,5,40,39,39,True,5,5,5,1,1,0,5,2036,1984,1980,5,0.068291,0.060202,0.053283,5,750708.4811290656,647819.009335238,571085.5017498645
main-l2-n40-uniform-k1,paper,5,40,39,39,True,5,5,5,1,1,0,5,2072,2008,1980,5,0.045798,0.044752,0.043334,5,923062.7221119675,871469.4315337862,851565.5705489323
main-l2-n40-uniform-k1,profile,5,40,39,39,True,5,5,5,1,1,0,5,2036,2016,2004,5,0.081089,0.076303,0.05214,5,767165.3241273494,511120.1394440586,480953.0269210374
main-l2-n40-zipf-k1,accept_id,5,26,24,21,True,5,5,5,19,16,14,5,2036,2004,1988,5,0.053236,0.051284,0.049602,5,496583.5054822819,466173.29992424685,423370.0254022015
main-l2-n40-zipf-k1,accept_static_degree,5,26,25,22,True,5,5,5,18,15,14,5,2040,1984,1976,5,0.064499,0.061805,0.058636,5,425580.67209009215,387602.90857222595,372138.17652293504
main-l2-n40-zipf-k1,adaptive,5,26,25,22,True,5,5,5,18,15,14,5,2020,2000,1968,5,0.109594,0.10234,0.095082,5,273448.18156959256,245859.72227685773,200740.9164735296
main-l2-n40-zipf-k1,graph,5,26,25,22,True,5,5,5,18,15,14,5,2056,2012,1988,5,0.096323,0.091795,0.088869,5,292565.46152201557,272345.9883435917,228398.20188324698
main-l2-n40-zipf-k1,lazy,5,26,25,22,True,5,5,5,18,15,14,5,2040,1980,1964,5,0.105801,0.100993,0.097118,5,267715.56251158385,243517.56248660653,207937.54312341093
main-l2-n40-zipf-k1,paper,5,26,25,22,True,5,5,5,18,15,14,5,2036,2004,1984,5,0.079787,0.071157,0.065731,5,395551.56623206707,351335.77863035264,275734.14215348364
main-l2-n40-zipf-k1,profile,5,26,25,22,True,5,5,5,18,15,14,5,2032,1996,1984,5,0.141603,0.130044,0.118642,5,219146.67655636286,183408.1638641899,155363.94002951914
main-l2-n512-uniform-k1,accept_id,5,457,448,440,True,5,5,5,72,64,55,5,3988,3956,3928,5,0.41989,0.415288,0.413123,5,1101214.9668425384,1084422.7990211148,1055259.6298437016
main-l2-n512-uniform-k1,accept_static_degree,5,462,453,441,True,5,5,5,71,59,50,5,3944,3932,3880,5,0.517614,0.514363,0.50888,5,900015.7207986165,881853.0984580225,851986.2291205415
main-l2-n512-uniform-k1,adaptive,5,462,453,441,True,5,5,5,71,59,50,5,4220,4144,4080,5,0.649839,0.621002,0.60684,5,761320.9412695273,729466.24970612,678629.6298006121
main-l2-n512-uniform-k1,graph,5,462,453,441,True,5,5,5,71,59,50,5,3932,3916,3884,5,0.568677,0.540238,0.537866,5,858570.0905401186,838519.3192629915,775484.1500535454
