condition,numerator,denominator,commit_delta_count,commit_delta_maximum,commit_delta_median,commit_delta_minimum,complete,complete_seeds,expected_seeds,total_ms_delta_count,total_ms_delta_maximum,total_ms_delta_median,total_ms_delta_minimum,total_ms_ratio_count,total_ms_ratio_maximum,total_ms_ratio_median,total_ms_ratio_minimum,validator_rate_ratio_count,validator_rate_ratio_maximum,validator_rate_ratio_median,validator_rate_ratio_minimum
main-l2-n128-uniform-k1,graph,adaptive,5,0,0,0,True,5,5,5,0.00023099999999998122,-0.0013999999999999846,-0.006842000000000015,5,1.0015685582165967,0.990682072307119,0.9539041972647038,5,1.0483233042348223,1.009405568096313,0.9984338983050849
main-l2-n128-uniform-k1,paper,adaptive,5,0,0,0,True,5,5,5,-0.023166999999999993,-0.025781,-0.03358599999999998,5,0.8422231908141167,0.8248965924758715,0.7864899956720045,5,1.2714719901116671,1.2122731614135625,1.1873337268632698
main-l2-n128-zipf-k1,adaptive,accept_id,5,3,2,0,True,5,5,5,0.18347900000000003,0.166207,0.151475,5,2.43826134671161,2.360089359508359,2.24272904035639,5,0.4573158206516961,0.4376049919826113,0.416963779554561
main-l2-n128-zipf-k1,adaptive,accept_static_degree,5,0,0,0,True,5,5,5,0.153457,0.1326,0.112346,5,1.973761358444591,1.845101928304828,1.697723235911513,5,0.5890241582651702,0.5419754782429509,0.5066468627129488
main-l2-n128-zipf-k1,graph,adaptive,5,0,0,0,True,5,5,5,0.04608500000000004,0.028305999999999998,0.008837999999999957,5,1.1545377114267703,1.090922815504354,1.0313102255980047,5,0.9696403421387106,0.916655134339345,0.8661475412216777
main-l2-n128-zipf-k1,paper,adaptive,5,0,0,0,True,5,5,5,0.02971499999999999,0.0028940000000000077,-0.010610000000000008,5,1.1042960935032116,1.010189100408761,0.9659192018476225,5,1.0352832805137193,0.9899136702181421,0.905554231227652
main-l2-n2048-uniform-k1,adaptive,accept_id,5,46,43,38,True,5,5,5,2.002008,1.808132,1.7723989999999998,5,2.283885318763246,2.2775970493054283,2.2545600297994413,5,0.45858096099429124,0.4536297766205146,0.4505164748403184
main-l2-n2048-uniform-k1,adaptive,accept_static_degree,5,-3,-6,-8,True,5,5,5,1.5418349999999998,1.356968,1.3501889999999999,5,1.7390574714627138,1.7337854276876299,1.7270416582727182,5,0.5765556394695078,0.5744761278577156,0.5721673687456922
main-l2-n2048-uniform-k1,graph,adaptive,5,0,0,0,True,5,5,5,-0.24705600000000016,-0.3640479999999999,-0.3890349999999998,5,0.9320667992209525,0.8860086916306029,0.87822418631964,5,1.1386614210554642,1.1286570994688645,1.0728844765587917
main-l2-n2048-uniform-k1,paper,adaptive,5,0,0,0,True,5,5,5,4.33647,3.980946,3.654613,5,2.347954275234491,2.246520357447144,2.0254396306166007,5,0.4937199731277955,0.445132845863173,0.4259026721890185
main-l2-n2048-zipf-k1,adaptive,accept_id,5,32,30,23,True,5,5,5,7.922654,7.446732000000001,7.098544,5,7.499052058511471,7.114257891880397,6.778996772053227,5,0.1589441441594545,0.14848668196654224,0.143555559268725
