condition,seed,numerator,denominator,commit_delta,commit_delta_defined,complete,successful,total_ms_delta,total_ms_delta_defined,total_ms_ratio,total_ms_ratio_defined,validator_rate_ratio,validator_rate_ratio_defined
main-l1-n128-zipf-k1,47,graph,adaptive,0,3,True,3,0.0022030000000000105,3,1.0141823425650534,3,0.9860159835467224,3
main-l1-n128-zipf-k1,47,paper,adaptive,0,3,True,3,-0.02545699999999998,3,0.8358703571175284,3,1.1963577742467948,3
main-l1-n128-zipf-k1,71,adaptive,accept_id,0,3,True,3,0.06528600000000001,3,1.7388320108714432,3,0.5750986833390731,3
main-l1-n128-zipf-k1,71,adaptive,accept_static_degree,0,3,True,3,0.055323,3,1.5522690518497813,3,0.6442182164286128,3
main-l1-n128-zipf-k1,71,graph,adaptive,0,3,True,3,-0.009910000000000002,3,0.9343656449519167,3,1.0702448291016318,3
main-l1-n128-zipf-k1,71,paper,adaptive,0,3,True,3,-0.030656000000000003,3,0.7999386555115412,3,1.2500958581136754,3
main-l1-n128-zipf-k1,101,adaptive,accept_id,0,3,True,3,0.08258099999999999,3,1.9345336441617815,3,0.5169204490280613,3
main-l1-n128-zipf-k1,101,adaptive,accept_static_degree,0,3,True,3,0.07143699999999999,3,1.717887649482464,3,0.5821102446957244,3
main-l1-n128-zipf-k1,101,graph,adaptive,0,3,True,3,-0.008566999999999991,3,0.949885052092169,3,1.0527589604631111,3
main-l1-n128-zipf-k1,101,paper,adaptive,0,3,True,3,-0.026751999999999998,3,0.8435070518932769,3,1.1855265439162246,3
main-l1-n2048-uniform-k1,11,adaptive,accept_id,0,3,True,3,0.58572,3,1.5769998019924876,3,0.6341154886237353,3
main-l1-n2048-uniform-k1,11,adaptive,accept_static_degree,0,3,True,3,0.450877,3,1.3920819579183898,3,0.7183485098070818,3
main-l1-n2048-uniform-k1,11,graph,adaptive,0,3,True,3,-0.20518300000000012,3,0.8709196666280818,3,1.1482115266401955,3
main-l1-n2048-uniform-k1,11,paper,adaptive,0,3,True,3,0.13905999999999996,3,1.0874824481496952,3,0.9195550711659365,3
main-l1-n2048-uniform-k1,29,adaptive,accept_id,0,3,True,3,0.5872090000000001,3,1.5763596067623065,3,0.6343730172418623,3
main-l1-n2048-uniform-k1,29,adaptive,accept_static_degree,0,3,True,3,0.44828,3,1.3874911615572256,3,0.7207253117761617,3
main-l1-n2048-uniform-k1,29,graph,adaptive,0,3,True,3,-0.22057900000000008,3,0.8625811290851119,3,1.1593112419009677,3
main-l1-n2048-uniform-k1,29,paper,adaptive,0,3,True,3,0.14796799999999988,3,1.0921828256159205,3,0.9155976239015335,3
main-l1-n2048-uniform-k1,47,adaptive,accept_id,0,3,True,3,0.6785999999999999,3,1.583944250295383,3,0.6313353514894948,3
main-l1-n2048-uniform-k1,47,adaptive,accept_static_degree,0,3,True,3,0.5412999999999999,3,1.414934578622552,3,0.7067464567679916,3
