condition,seed,mode,commit_count,complete,expected,fvs_size,peak_rss_kib,successful,total_ms,validator_commits_per_second
main-l1-n128-uniform-k1,29,profile,126,True,3,2,1996,3,0.108096,1165630.5506216697
main-l1-n128-uniform-k1,47,accept_id,128,True,3,0,2012,3,0.088796,1441506.3741609983
main-l1-n128-uniform-k1,47,accept_static_degree,128,True,3,0,2016,3,0.090985,1406825.3008737704
main-l1-n128-uniform-k1,47,adaptive,128,True,3,0,1984,3,0.092404,1385221.418986191
main-l1-n128-uniform-k1,47,graph,128,True,3,0,2016,3,0.091503,1398861.2395222015
main-l1-n128-uniform-k1,47,lazy,128,True,3,0,2004,3,0.092346,1386091.438719598
main-l1-n128-uniform-k1,47,paper,128,True,3,0,2012,3,0.073992,1729916.7477565142
main-l1-n128-uniform-k1,47,profile,128,True,3,0,1992,3,0.092277,1387127.8866889908
main-l1-n128-uniform-k1,71,accept_id,127,True,3,1,1996,3,0.086949,1460626.3441787716
main-l1-n128-uniform-k1,71,accept_static_degree,127,True,3,1,1996,3,0.095716,1326841.9073091228
main-l1-n128-uniform-k1,71,adaptive,127,True,3,1,1988,3,0.104071,1220320.7425699763
main-l1-n128-uniform-k1,71,graph,127,True,3,1,1976,3,0.094484,1344142.923669616
main-l1-n128-uniform-k1,71,lazy,127,True,3,1,1992,3,0.094574,1342863.7892021062
main-l1-n128-uniform-k1,71,paper,127,True,3,1,2008,3,0.073773,1721497.0246567172
main-l1-n128-uniform-k1,71,profile,127,True,3,1,2056,3,0.105183,1207419.4499111073
main-l1-n128-uniform-k1,101,accept_id,127,True,3,1,2012,3,0.085811,1479996.737015068
main-l1-n128-uniform-k1,101,accept_static_degree,127,True,3,1,2040,3,0.093195,1362734.0522560223
main-l1-n128-uniform-k1,101,adaptive,127,True,3,1,2032,3,0.104327,1217326.2913723197
main-l1-n128-uniform-k1,101,graph,127,True,3,1,2020,3,0.096523,1315748.5780591154
main-l1-n128-uniform-k1,101,lazy,127,True,3,1,1988,3,0.094427,1344954.3033242612
main-l1-n128-uniform-k1,101,paper,127,True,3,1,1984,3,0.07264,1748348.0176211454
main-l1-n128-uniform-k1,101,profile,127,True,3,1,1964,3,0.103859,1222811.696627158
main-l1-n128-zipf-k1,11,accept_id,93,True,3,35,1996,3,0.089318,1041223.4935847198
main-l1-n128-zipf-k1,11,accept_static_degree,93,True,3,35,1980,3,0.101455,916662.5597555566
main-l1-n128-zipf-k1,11,adaptive,93,True,3,35,1988,3,0.157817,589290.1271726113
main-l1-n128-zipf-k1,11,graph,93,True,3,35,2000,3,0.158156,588027.0113052935
main-l1-n128-zipf-k1,11,lazy,93,True,3,35,2016,3,0.139523,666556.7684181102
main-l1-n128-zipf-k1,11,paper,93,True,3,35,2016,3,0.136427,681683.2445190469
main-l1-n128-zipf-k1,11,profile,93,True,3,35,2016,3,0.157267,591351.0145167137
main-l1-n128-zipf-k1,29,accept_id,88,True,3,40,2036,3,0.088217,997540.1566591472
main-l1-n128-zipf-k1,29,accept_static_degree,88,True,3,40,1984,3,0.098297,895246.0400622603
main-l1-n128-zipf-k1,29,adaptive,88,True,3,40,2020,3,0.163856,537056.9280343716
main-l1-n128-zipf-k1,29,graph,88,True,3,40,2016,3,0.154901,568104.7895107197
main-l1-n128-zipf-k1,29,lazy,88,True,3,40,2008,3,0.137077,641974.9483866731
main-l1-n128-zipf-k1,29,paper,88,True,3,40,2032,3,0.143384,613736.539641801
main-l1-n128-zipf-k1,29,profile,88,True,3,40,2016,3,0.165435,531930.9698673195
main-l1-n128-zipf-k1,47,accept_id,94,True,3,34,1976,3,0.09026,1041435.8519831597
main-l1-n128-zipf-k1,47,accept_static_degree,94,True,3,34,2016,3,0.099199,947590.1974818294
main-l1-n128-zipf-k1,47,adaptive,94,True,3,34,2016,3,0.155103,606048.8836450618
main-l1-n128-zipf-k1,47,graph,94,True,3,34,2016,3,0.157537,596685.2231539257
main-l1-n128-zipf-k1,47,lazy,94,True,3,34,2016,3,0.146655,640960.0763697112
main-l1-n128-zipf-k1,47,paper,94,True,3,34,1980,3,0.129683,724844.4283367905
main-l1-n128-zipf-k1,47,profile,94,True,3,34,1984,3,0.157444,597037.6768882904
main-l1-n128-zipf-k1,71,accept_id,97,True,3,31,1984,3,0.087947,1102936.9961454058
main-l1-n128-zipf-k1,71,accept_static_degree,97,True,3,31,2000,3,0.097395,995944.3503259921
main-l1-n128-zipf-k1,71,adaptive,97,True,3,31,2016,3,0.153233,633022.9128190402
main-l1-n128-zipf-k1,71,graph,97,True,3,31,1952,3,0.142828,679138.5442630296
main-l1-n128-zipf-k1,71,lazy,97,True,3,31,2016,3,0.12872,753573.6482287134
main-l1-n128-zipf-k1,71,paper,97,True,3,31,2012,3,0.122577,791339.3214061365
main-l1-n128-zipf-k1,71,profile,97,True,3,31,2004,3,0.156502,619800.3859375599
main-l1-n128-zipf-k1,101,accept_id,87,True,3,41,2004,3,0.087628,992833.3409412517
main-l1-n128-zipf-k1,101,accept_static_degree,87,True,3,41,2012,3,0.09951,874283.9915586374
main-l1-n128-zipf-k1,101,adaptive,87,True,3,41,1980,3,0.170542,510138.2650608061
main-l1-n128-zipf-k1,101,graph,87,True,3,41,1996,3,0.16238,535780.2685059736
main-l1-n128-zipf-k1,101,lazy,87,True,3,41,2012,3,0.13812,629887.054735013
main-l1-n128-zipf-k1,101,paper,87,True,3,41,1984,3,0.143837,604851.3247634475
main-l1-n128-zipf-k1,101,profile,87,True,3,41,2040,3,0.166189,523500.35200885736
main-l1-n2048-uniform-k1,11,accept_id,1823,True,3,225,4560,3,1.012248,1800942.061629166
main-l1-n2048-uniform-k1,11,accept_static_degree,1823,True,3,225,4560,3,1.149956,1585278.0454208683
main-l1-n2048-uniform-k1,11,adaptive,1823,True,3,225,4456,3,1.600833,1138782.121557964
main-l1-n2048-uniform-k1,11,graph,1823,True,3,225,4408,3,1.384393,1316822.6074532305
main-l1-n2048-uniform-k1,11,lazy,1823,True,3,225,4436,3,1.343248,1357158.1718342407
main-l1-n2048-uniform-k1,11,paper,1823,True,3,225,4684,3,1.740267,1047540.4061560668
main-l1-n2048-uniform-k1,11,profile,1823,True,3,225,4404,3,1.594705,1143158.138966141
main-l1-n2048-uniform-k1,29,accept_id,1817,True,3,231,4460,3,1.018824,1783428.7374463107
main-l1-n2048-uniform-k1,29,accept_static_degree,1817,True,3,231,4440,3,1.160481,1565730.0722717561
main-l1-n2048-uniform-k1,29,adaptive,1817,True,3,231,4460,3,1.606033,1131359.0692096613
main-l1-n2048-uniform-k1,29,graph,1817,True,3,231,4456,3,1.392333,1305003.9035202067
main-l1-n2048-uniform-k1,29,lazy,1817,True,3,231,4460,3,1.3591,1336914.1343536163
main-l1-n2048-uniform-k1,29,paper,1817,True,3,231,4688,3,1.753126,1036434.3464189111
main-l1-n2048-uniform-k1,29,profile,1817,True,3,231,4444,3,1.608398,1129695.5106882749
main-l1-n2048-uniform-k1,47,accept_id,1804,True,3,244,4572,3,1.162051,1552427.5612688255
