condition,suite,arity,n,distribution,workers,policy_k,key_count,selector_only,mode,metric,count,median,minimum,maximum,q1,q3,iqr,expected_repetitions
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,batch_ms,5,0.299948,0.295049,0.311359,0.29785,0.309058,0.011207999999999996,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,commit_count,5,124,122,126,124.0,126.0,2.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,commit_wall_ms,5,0.032254,0.028514,0.032931,0.032143,0.032703,0.0005600000000000049,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,commit_worker_ms,5,0.031107,0.027364,0.031916,0.031065,0.031491,0.0004259999999999993,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,dependency_worker_ms,5,0,0,0,0.0,0.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,extract_ms,5,0.095941,0.094436,0.10483,0.095058,0.096443,0.0013849999999999973,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,initial_core_size,5,4,4,12,4.0,4.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,peak_rss_kib,5,8156,7968,8212,7980.0,8172.0,192.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,read_wall_ms,5,0.122018,0.119636,0.128089,0.121848,0.122168,0.00032000000000000084,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,read_worker_ms,5,0.120241,0.118176,0.126123,0.120182,0.120243,6.1000000000005494e-05,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,reservation_worker_ms,5,0.017372,0.017246,0.017545,0.017292,0.017446,0.00015400000000000136,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,round_count,5,2,1,3,1.0,2.0,1.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,runner_peak_rss_kib,5,8156,7968,8212,7980.0,8172.0,192.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,selector.B,5,0,0,0,0.0,0.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,selector.build_ms,5,0.005682,0.005569,0.008632,0.005637,0.005932,0.0002950000000000001,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,selector.certificate_ms,5,0.003118,0.003032,0.003912,0.00311,0.0032,9.000000000000024e-05,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,selector.degree_queries,5,0,0,0,0.0,0.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,selector.graph_bytes,5,32,32,96,32.0,32.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,selector.heavy_subsets,5,0,0,0,0.0,0.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,selector.heavy_updates,5,0,0,0,0.0,0.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,selector.incidences,5,0,0,0,0.0,0.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,selector.index_payload_bytes,5,0,0,0,0.0,0.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,selector.initial_core_size,5,4,4,12,4.0,4.0,0.0,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,graph,selector.kernel_ms,5,0.042232,0.04105,0.054199,0.041223,0.043082,0.0018589999999999995,5
