condition,suite,arity,n,distribution,workers,policy_k,key_count,selector_only,baseline,mode,seed,metric,status,ratio,baseline_ms,baseline_status,mode_ms,mode_status
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,graph,adaptive,47,batch_ms,ok,1.0325688197714098,0.419098,ok,0.405879,ok
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,native,graph,47,batch_ms,ok,0.31742695025984374,0.133033,ok,0.419098,ok
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,native,lazy,47,batch_ms,ok,0.33375313913551785,0.133033,ok,0.398597,ok
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,native,profile,47,batch_ms,ok,0.2833123563824237,0.133033,ok,0.469563,ok
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,native,adaptive,47,batch_ms,ok,0.3277651713934449,0.133033,ok,0.405879,ok
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,graph,lazy,71,selector_ms,ok,1.0344382496522653,0.268475,ok,0.259537,ok
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,graph,lazy,71,batch_ms,ok,1.0284632939017815,0.402449,ok,0.391311,ok
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,graph,profile,71,selector_ms,ok,0.8111076199856193,0.268475,ok,0.330998,ok
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,graph,profile,71,batch_ms,ok,0.8711715007478954,0.402449,ok,0.461963,ok
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,graph,adaptive,71,selector_ms,ok,0.9952143709733622,0.268475,ok,0.269766,ok
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,graph,adaptive,71,batch_ms,ok,1.0087604084681443,0.402449,ok,0.398954,ok
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,native,graph,71,batch_ms,ok,0.3325589080852481,0.133838,ok,0.402449,ok
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,native,lazy,71,batch_ms,ok,0.342024630025734,0.133838,ok,0.391311,ok
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,native,profile,71,batch_ms,ok,0.28971584304370696,0.133838,ok,0.461963,ok
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,native,adaptive,71,batch_ms,ok,0.3354722599597949,0.133838,ok,0.398954,ok
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,graph,lazy,101,selector_ms,ok,1.1545587389079015,0.304979,ok,0.264152,ok
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,graph,lazy,101,batch_ms,ok,1.1139017875070212,0.438268,ok,0.393453,ok
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,graph,profile,101,selector_ms,ok,0.909369837852666,0.304979,ok,0.335374,ok
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,graph,profile,101,batch_ms,ok,0.9420863695965263,0.438268,ok,0.46521,ok
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,graph,adaptive,101,selector_ms,ok,1.1196656191259398,0.304979,ok,0.272384,ok
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,graph,adaptive,101,batch_ms,ok,1.095757660612849,0.438268,ok,0.399968,ok
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,native,graph,101,batch_ms,ok,0.3032277054222531,0.132895,ok,0.438268,ok
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,native,lazy,101,batch_ms,ok,0.3377658830915002,0.132895,ok,0.393453,ok
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,native,profile,101,batch_ms,ok,0.2856666881623353,0.132895,ok,0.46521,ok
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,native,adaptive,101,batch_ms,ok,0.33226408112649014,0.132895,ok,0.399968,ok
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,graph,lazy,11,selector_ms,ok,1.3558578894710342,4.16852,ok,3.074452,ok
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,graph,lazy,11,batch_ms,ok,1.3394696026307353,4.311174,ok,3.218568,ok
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,graph,profile,11,selector_ms,ok,10.183664195986653,4.16852,ok,0.409334,ok
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,graph,profile,11,batch_ms,ok,7.80078493248097,4.311174,ok,0.552659,ok
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,graph,adaptive,11,selector_ms,ok,5.283703809800251,4.16852,ok,0.788939,ok
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,graph,adaptive,11,batch_ms,ok,4.6286235151640085,4.311174,ok,0.931416,ok
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,native,graph,11,batch_ms,ok,0.03810307818705531,0.164269,ok,4.311174,ok
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,native,lazy,11,batch_ms,ok,0.051037914998222814,0.164269,ok,3.218568,ok
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,native,profile,11,batch_ms,ok,0.2972339182027254,0.164269,ok,0.552659,ok
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,native,adaptive,11,batch_ms,ok,0.17636480369673702,0.164269,ok,0.931416,ok
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,graph,lazy,29,selector_ms,ok,1.3753999921445585,4.167114,ok,3.029747,ok
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,graph,lazy,29,batch_ms,ok,1.3548277642592677,4.308355,ok,3.180002,ok
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,graph,profile,29,selector_ms,ok,10.053569317548511,4.167114,ok,0.414491,ok
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,graph,profile,29,batch_ms,ok,7.74407648532737,4.308355,ok,0.556342,ok
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,graph,adaptive,29,selector_ms,ok,5.1841898354341565,4.167114,ok,0.803812,ok
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,graph,adaptive,29,batch_ms,ok,4.55117377438475,4.308355,ok,0.946647,ok
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,native,graph,29,batch_ms,ok,0.03766100982857727,0.162257,ok,4.308355,ok
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,native,lazy,29,batch_ms,ok,0.05102418174579765,0.162257,ok,3.180002,ok
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,native,profile,29,batch_ms,ok,0.2916497406271682,0.162257,ok,0.556342,ok
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,native,adaptive,29,batch_ms,ok,0.17140180024866714,0.162257,ok,0.946647,ok
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,graph,lazy,47,selector_ms,ok,1.4069803453487182,4.234116,ok,3.009364,ok
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,graph,lazy,47,batch_ms,ok,1.388833369458869,4.376282,ok,3.151049,ok
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,graph,profile,47,selector_ms,ok,10.403080052873914,4.234116,ok,0.407006,ok
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,graph,profile,47,batch_ms,ok,7.88117410401543,4.376282,ok,0.555283,ok
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,graph,adaptive,47,selector_ms,ok,5.35481439512743,4.234116,ok,0.790712,ok
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,graph,adaptive,47,batch_ms,ok,4.69247001451827,4.376282,ok,0.932618,ok
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,native,graph,47,batch_ms,ok,0.037059997504731185,0.162185,ok,4.376282,ok
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,native,lazy,47,batch_ms,ok,0.05147016120663309,0.162185,ok,3.151049,ok
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,native,profile,47,batch_ms,ok,0.2920762926291639,0.162185,ok,0.555283,ok
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,native,adaptive,47,batch_ms,ok,0.173902927029073,0.162185,ok,0.932618,ok
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,graph,lazy,71,selector_ms,ok,1.3935728828846754,4.202542,ok,3.01566,ok
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,graph,lazy,71,batch_ms,ok,1.3750699517617715,4.344286,ok,3.15932,ok
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,graph,profile,71,selector_ms,ok,9.715736909027859,4.202542,ok,0.43255,ok
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,graph,profile,71,batch_ms,ok,7.554517979056027,4.344286,ok,0.575058,ok
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,graph,adaptive,71,selector_ms,ok,5.253427037784295,4.202542,ok,0.799962,ok
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,graph,adaptive,71,batch_ms,ok,4.615497232902589,4.344286,ok,0.941239,ok
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,native,graph,71,batch_ms,ok,0.0372415628252836,0.161788,ok,4.344286,ok
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,native,lazy,71,batch_ms,ok,0.0512097539976957,0.161788,ok,3.15932,ok
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,native,profile,71,batch_ms,ok,0.2813420559317495,0.161788,ok,0.575058,ok
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,native,adaptive,71,batch_ms,ok,0.17188833016906438,0.161788,ok,0.941239,ok
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,graph,lazy,101,selector_ms,ok,1.3503618806896625,4.162874,ok,3.082784,ok
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,graph,lazy,101,batch_ms,ok,1.3344303341444836,4.304153,ok,3.225461,ok
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,graph,profile,101,selector_ms,ok,9.891257033150852,4.162874,ok,0.420864,ok
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,graph,profile,101,batch_ms,ok,7.646525964220364,4.304153,ok,0.56289,ok
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,graph,adaptive,101,selector_ms,ok,5.253925102481776,4.162874,ok,0.792336,ok
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,graph,adaptive,101,batch_ms,ok,4.608068972974594,4.304153,ok,0.934047,ok
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,native,graph,101,batch_ms,ok,0.037649916255300404,0.162051,ok,4.304153,ok
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,native,lazy,101,batch_ms,ok,0.05024119032907234,0.162051,ok,3.225461,ok
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,native,profile,101,batch_ms,ok,0.2878910621968768,0.162051,ok,0.56289,ok
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,native,adaptive,101,batch_ms,ok,0.1734934109311416,0.162051,ok,0.934047,ok
zero_commit-l1-n2-identical-w1-k2,zero_commit,1,2,identical,1,2,10000,False,graph,lazy,11,selector_ms,ok,1.0977626022104412,0.012217,ok,0.011129,ok
zero_commit-l1-n2-identical-w1-k2,zero_commit,1,2,identical,1,2,10000,False,graph,lazy,11,batch_ms,ok,1.088121434392828,0.021362,ok,0.019632,ok
zero_commit-l1-n2-identical-w1-k2,zero_commit,1,2,identical,1,2,10000,False,graph,profile,11,selector_ms,ok,0.6334975369458128,0.012217,ok,0.019285,ok
zero_commit-l1-n2-identical-w1-k2,zero_commit,1,2,identical,1,2,10000,False,graph,profile,11,batch_ms,ok,0.7727815360127337,0.021362,ok,0.027643,ok
zero_commit-l1-n2-identical-w1-k2,zero_commit,1,2,identical,1,2,10000,False,graph,adaptive,11,selector_ms,ok,0.6079621796466783,0.012217,ok,0.020095,ok
zero_commit-l1-n2-identical-w1-k2,zero_commit,1,2,identical,1,2,10000,False,graph,adaptive,11,batch_ms,ok,0.8224061597690085,0.021362,ok,0.025975,ok
zero_commit-l1-n2-identical-w1-k2,zero_commit,1,2,identical,1,2,10000,False,native,graph,11,batch_ms,ok,0.44209343694410635,0.009444,ok,0.021362,ok
zero_commit-l1-n2-identical-w1-k2,zero_commit,1,2,identical,1,2,10000,False,native,lazy,11,batch_ms,ok,0.48105134474327627,0.009444,ok,0.019632,ok
zero_commit-l1-n2-identical-w1-k2,zero_commit,1,2,identical,1,2,10000,False,native,profile,11,batch_ms,ok,0.34164164526281515,0.009444,ok,0.027643,ok
zero_commit-l1-n2-identical-w1-k2,zero_commit,1,2,identical,1,2,10000,False,native,adaptive,11,batch_ms,ok,0.3635803657362848,0.009444,ok,0.025975,ok
zero_commit-l1-n2-identical-w1-k2,zero_commit,1,2,identical,1,2,10000,False,graph,lazy,29,selector_ms,ok,1.0116521739130435,0.011634,ok,0.0115,ok
zero_commit-l1-n2-identical-w1-k2,zero_commit,1,2,identical,1,2,10000,False,graph,lazy,29,batch_ms,ok,1.1253272623790553,0.019772,ok,0.01757,ok
zero_commit-l1-n2-identical-w1-k2,zero_commit,1,2,identical,1,2,10000,False,graph,profile,29,selector_ms,ok,0.5813221406086044,0.011634,ok,0.020013,ok
zero_commit-l1-n2-identical-w1-k2,zero_commit,1,2,identical,1,2,10000,False,graph,profile,29,batch_ms,ok,0.748315797441526,0.019772,ok,0.026422,ok
zero_commit-l1-n2-identical-w1-k2,zero_commit,1,2,identical,1,2,10000,False,graph,adaptive,29,selector_ms,ok,0.5656359393232205,0.011634,ok,0.020568,ok
zero_commit-l1-n2-identical-w1-k2,zero_commit,1,2,identical,1,2,10000,False,graph,adaptive,29,batch_ms,ok,0.7235864592863679,0.019772,ok,0.027325,ok
zero_commit-l1-n2-identical-w1-k2,zero_commit,1,2,identical,1,2,10000,False,native,graph,29,batch_ms,ok,0.3934857374064333,0.00778,ok,0.019772,ok
zero_commit-l1-n2-identical-w1-k2,zero_commit,1,2,identical,1,2,10000,False,native,lazy,29,batch_ms,ok,0.4428002276607854,0.00778,ok,0.01757,ok
zero_commit-l1-n2-identical-w1-k2,zero_commit,1,2,identical,1,2,10000,False,native,profile,29,batch_ms,ok,0.29445159336916205,0.00778,ok,0.026422,ok
zero_commit-l1-n2-identical-w1-k2,zero_commit,1,2,identical,1,2,10000,False,native,adaptive,29,batch_ms,ok,0.2847209515096066,0.00778,ok,0.027325,ok
zero_commit-l1-n2-identical-w1-k2,zero_commit,1,2,identical,1,2,10000,False,graph,lazy,47,selector_ms,ok,1.082213438735178,0.012321,ok,0.011385,ok
