condition,suite,arity,n,distribution,workers,policy_k,key_count,selector_only,mode,status,count,expected_repetitions
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,native,ok,5,5
main-l2-n128-uniform-w1-k2,main,2,128,uniform,1,2,10000,False,profile,ok,5,5
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,adaptive,ok,5,5
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,graph,ok,5,5
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,lazy,ok,5,5
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,native,ok,5,5
main-l2-n128-zipf-w1-k2,main,2,128,zipf,1,2,10000,False,profile,ok,5,5
main-l2-n2048-uniform-w1-k2,main,2,2048,uniform,1,2,10000,False,adaptive,ok,5,5
main-l2-n2048-uniform-w1-k2,main,2,2048,uniform,1,2,10000,False,graph,ok,5,5
main-l2-n2048-uniform-w1-k2,main,2,2048,uniform,1,2,10000,False,lazy,ok,5,5
main-l2-n2048-uniform-w1-k2,main,2,2048,uniform,1,2,10000,False,native,ok,5,5
main-l2-n2048-uniform-w1-k2,main,2,2048,uniform,1,2,10000,False,profile,ok,5,5
main-l2-n2048-zipf-w1-k2,main,2,2048,zipf,1,2,10000,False,adaptive,ok,5,5
main-l2-n2048-zipf-w1-k2,main,2,2048,zipf,1,2,10000,False,graph,ok,5,5
main-l2-n2048-zipf-w1-k2,main,2,2048,zipf,1,2,10000,False,lazy,ok,5,5
main-l2-n2048-zipf-w1-k2,main,2,2048,zipf,1,2,10000,False,native,ok,5,5
main-l2-n2048-zipf-w1-k2,main,2,2048,zipf,1,2,10000,False,profile,ok,5,5
main-l2-n32768-uniform-w1-k2,main,2,32768,uniform,1,2,10000,False,adaptive,ok,5,5
main-l2-n32768-uniform-w1-k2,main,2,32768,uniform,1,2,10000,False,graph,ok,5,5
main-l2-n32768-uniform-w1-k2,main,2,32768,uniform,1,2,10000,False,lazy,ok,5,5
main-l2-n32768-uniform-w1-k2,main,2,32768,uniform,1,2,10000,False,native,ok,5,5
main-l2-n32768-uniform-w1-k2,main,2,32768,uniform,1,2,10000,False,profile,ok,5,5
main-l2-n32768-zipf-w1-k2,main,2,32768,zipf,1,2,10000,False,adaptive,ok,5,5
main-l2-n32768-zipf-w1-k2,main,2,32768,zipf,1,2,10000,False,graph,ok,5,5
main-l2-n32768-zipf-w1-k2,main,2,32768,zipf,1,2,10000,False,lazy,ok,5,5
main-l2-n32768-zipf-w1-k2,main,2,32768,zipf,1,2,10000,False,native,ok,5,5
main-l2-n32768-zipf-w1-k2,main,2,32768,zipf,1,2,10000,False,profile,ok,5,5
main-l2-n512-uniform-w1-k2,main,2,512,uniform,1,2,10000,False,adaptive,ok,5,5
main-l2-n512-uniform-w1-k2,main,2,512,uniform,1,2,10000,False,graph,ok,5,5
main-l2-n512-uniform-w1-k2,main,2,512,uniform,1,2,10000,False,lazy,ok,5,5
main-l2-n512-uniform-w1-k2,main,2,512,uniform,1,2,10000,False,native,ok,5,5
main-l2-n512-uniform-w1-k2,main,2,512,uniform,1,2,10000,False,profile,ok,5,5
main-l2-n512-zipf-w1-k2,main,2,512,zipf,1,2,10000,False,adaptive,ok,5,5
main-l2-n512-zipf-w1-k2,main,2,512,zipf,1,2,10000,False,graph,ok,5,5
main-l2-n512-zipf-w1-k2,main,2,512,zipf,1,2,10000,False,lazy,ok,5,5
main-l2-n512-zipf-w1-k2,main,2,512,zipf,1,2,10000,False,native,ok,5,5
main-l2-n512-zipf-w1-k2,main,2,512,zipf,1,2,10000,False,profile,ok,5,5
main-l2-n8192-uniform-w1-k2,main,2,8192,uniform,1,2,10000,False,adaptive,ok,5,5
main-l2-n8192-uniform-w1-k2,main,2,8192,uniform,1,2,10000,False,graph,ok,5,5
main-l2-n8192-uniform-w1-k2,main,2,8192,uniform,1,2,10000,False,lazy,ok,5,5
main-l2-n8192-uniform-w1-k2,main,2,8192,uniform,1,2,10000,False,native,ok,5,5
main-l2-n8192-uniform-w1-k2,main,2,8192,uniform,1,2,10000,False,profile,ok,5,5
main-l2-n8192-zipf-w1-k2,main,2,8192,zipf,1,2,10000,False,adaptive,ok,5,5
main-l2-n8192-zipf-w1-k2,main,2,8192,zipf,1,2,10000,False,graph,ok,5,5
main-l2-n8192-zipf-w1-k2,main,2,8192,zipf,1,2,10000,False,lazy,ok,5,5
main-l2-n8192-zipf-w1-k2,main,2,8192,zipf,1,2,10000,False,native,ok,5,5
main-l2-n8192-zipf-w1-k2,main,2,8192,zipf,1,2,10000,False,profile,ok,5,5
scale-l2-n8192-zipf-w2-k2,scale,2,8192,zipf,2,2,10000,False,adaptive,ok,5,5
scale-l2-n8192-zipf-w2-k2,scale,2,8192,zipf,2,2,10000,False,graph,ok,5,5
scale-l2-n8192-zipf-w2-k2,scale,2,8192,zipf,2,2,10000,False,lazy,ok,5,5
scale-l2-n8192-zipf-w2-k2,scale,2,8192,zipf,2,2,10000,False,native,ok,5,5
scale-l2-n8192-zipf-w2-k2,scale,2,8192,zipf,2,2,10000,False,profile,ok,5,5
scale-l2-n8192-zipf-w4-k2,scale,2,8192,zipf,4,2,10000,False,adaptive,ok,5,5
scale-l2-n8192-zipf-w4-k2,scale,2,8192,zipf,4,2,10000,False,graph,ok,5,5
scale-l2-n8192-zipf-w4-k2,scale,2,8192,zipf,4,2,10000,False,lazy,ok,5,5
scale-l2-n8192-zipf-w4-k2,scale,2,8192,zipf,4,2,10000,False,native,ok,5,5
scale-l2-n8192-zipf-w4-k2,scale,2,8192,zipf,4,2,10000,False,profile,ok,5,5
worst-l2-n1024-identical-w1-k1,worst,2,1024,identical,1,1,10000,False,adaptive,ok,5,5
worst-l2-n1024-identical-w1-k1,worst,2,1024,identical,1,1,10000,False,graph,ok,5,5
worst-l2-n1024-identical-w1-k1,worst,2,1024,identical,1,1,10000,False,lazy,ok,5,5
worst-l2-n1024-identical-w1-k1,worst,2,1024,identical,1,1,10000,False,native,ok,5,5
worst-l2-n1024-identical-w1-k1,worst,2,1024,identical,1,1,10000,False,profile,ok,5,5
worst-l2-n16384-identical-w1-k1,worst,2,16384,identical,1,1,10000,False,adaptive,ok,5,5
worst-l2-n16384-identical-w1-k1,worst,2,16384,identical,1,1,10000,False,graph,ok,5,5
worst-l2-n16384-identical-w1-k1,worst,2,16384,identical,1,1,10000,False,lazy,ok,5,5
