condition,suite,arity,n,distribution,workers,policy_k,key_count,selector_only,baseline,mode,metric,count,median,minimum,maximum,q1,q3,iqr,expected_pairs
arity-l4-n512-zipf-w1-k2,arity,4,512,zipf,1,2,10000,False,graph,adaptive,selector_ms,5,1.8712027054295697,1.7403364335918565,2.0889207427559087,1.8226093046118346,1.980883185128801,0.15827388051696634,5
arity-l4-n512-zipf-w1-k2,arity,4,512,zipf,1,2,10000,False,graph,lazy,batch_ms,5,1.7627408844587755,1.6552914680698874,1.9517864800523772,1.7234325082894983,1.879936090149844,0.15650358186034574,5
arity-l4-n512-zipf-w1-k2,arity,4,512,zipf,1,2,10000,False,graph,lazy,selector_ms,5,1.872831486686608,1.7403597206397423,2.082158066715131,1.831683690805935,1.998678709031125,0.16699501822519003,5
arity-l4-n512-zipf-w1-k2,arity,4,512,zipf,1,2,10000,False,graph,profile,batch_ms,5,0.9052794621101462,0.863864080993668,1.1776282081523521,0.8747036451771265,1.1723876350971927,0.29768398992006617,5
arity-l4-n512-zipf-w1-k2,arity,4,512,zipf,1,2,10000,False,graph,profile,selector_ms,5,0.8990476183524969,0.852035656590252,1.1910755613059971,0.8659175318027171,1.1870711934498084,0.32115366164709125,5
arity-l4-n8192-uniform-w1-k2,arity,4,8192,uniform,1,2,10000,False,graph,adaptive,batch_ms,5,0.7054505508074709,0.6487611075547671,0.7199625471959544,0.6993714650209708,0.7062754744794093,0.006904009458438498,5
arity-l4-n8192-uniform-w1-k2,arity,4,8192,uniform,1,2,10000,False,graph,adaptive,selector_ms,5,0.6736240496009717,0.6259000583151115,0.688693740360415,0.6682565441805446,0.6770125170922248,0.008755972911680177,5
arity-l4-n8192-uniform-w1-k2,arity,4,8192,uniform,1,2,10000,False,graph,lazy,batch_ms,5,0.6981615837585677,0.6463234833661122,0.7185796471418122,0.6948069750340184,0.7069287401240886,0.012121765090070125,5
arity-l4-n8192-uniform-w1-k2,arity,4,8192,uniform,1,2,10000,False,graph,lazy,selector_ms,5,0.6696728878997376,0.622021411930882,0.687813536024801,0.666309614966933,0.6775612867120558,0.011251671745122871,5
arity-l4-n8192-uniform-w1-k2,arity,4,8192,uniform,1,2,10000,False,graph,profile,batch_ms,5,0.575786605512894,0.5344220966020786,0.5871835210489067,0.5367721934888261,0.5839179538467889,0.04714576035796281,5
arity-l4-n8192-uniform-w1-k2,arity,4,8192,uniform,1,2,10000,False,graph,profile,selector_ms,5,0.5424062890300616,0.5039518805600824,0.5504357928023733,0.505036180097538,0.5497399521499304,0.0447037720523924,5
arity-l4-n8192-zipf-w1-k2,arity,4,8192,zipf,1,2,10000,False,graph,adaptive,batch_ms,5,21.204641596328337,21.062909880191057,21.526349801222217,21.120947247496495,21.23598689679399,0.11503964929749344,5
arity-l4-n8192-zipf-w1-k2,arity,4,8192,zipf,1,2,10000,False,graph,adaptive,selector_ms,5,22.728298460915603,22.581257229142388,23.1102359111182,22.64572715764653,22.757368460878983,0.11164130323245303,5
arity-l4-n8192-zipf-w1-k2,arity,4,8192,zipf,1,2,10000,False,graph,lazy,batch_ms,5,21.23614680090213,21.147678491343783,21.421971044597704,21.151231385814825,21.357106000769722,0.20587461495489734,5
arity-l4-n8192-zipf-w1-k2,arity,4,8192,zipf,1,2,10000,False,graph,lazy,selector_ms,5,22.777799856095694,22.694074346862934,22.92337992293389,22.711217159411365,22.915921584938474,0.2047044255271082,5
arity-l4-n8192-zipf-w1-k2,arity,4,8192,zipf,1,2,10000,False,graph,profile,batch_ms,5,2.8981365907871486,2.878062675879022,2.931652469509881,2.893040760911481,2.922490015862966,0.02944925495148487,5
arity-l4-n8192-zipf-w1-k2,arity,4,8192,zipf,1,2,10000,False,graph,profile,selector_ms,5,2.9162726469244444,2.8947599387079435,2.9499118880469894,2.9101193877857394,2.9393279099265053,0.029208522140765858,5
constant-l1-n2048-uniform-w1-k2,constant,1,2048,uniform,1,2,10000,True,graph,adaptive,selector_ms,5,0.8680383322069501,0.8627866785555179,0.8928547545694216,0.8668110139286989,0.8749619246615972,0.008150910732898309,5
constant-l1-n2048-uniform-w1-k2,constant,1,2048,uniform,1,2,10000,True,graph,lazy,selector_ms,5,1.0303831583428478,1.0119919913215953,1.041695661391006,1.0289763978918858,1.0378182653720145,0.008841867480128718,5
constant-l1-n2048-uniform-w1-k2,constant,1,2048,uniform,1,2,10000,True,graph,profile,selector_ms,5,0.875916026268733,0.8631133173884483,0.8845070064393263,0.8735433952021491,0.881942452735123,0.008399057532973875,5
constant-l2-n2048-uniform-w1-k2,constant,2,2048,uniform,1,2,10000,True,graph,adaptive,selector_ms,5,0.8703888529332379,0.8584927372776572,0.8782669800230217,0.8658520290467894,0.8713203125158117,0.005468283469022284,5
constant-l2-n2048-uniform-w1-k2,constant,2,2048,uniform,1,2,10000,True,graph,lazy,selector_ms,5,0.8688037998461576,0.8554146138715562,0.8780801373518647,0.8661669107779404,0.8715847030691521,0.005417792291211754,5
constant-l2-n2048-uniform-w1-k2,constant,2,2048,uniform,1,2,10000,True,graph,profile,selector_ms,5,0.7425333011383038,0.718352122219329,0.7502752812289322,0.7250234618269203,0.7479693724230772,0.022945910596156804,5
constant-l3-n2048-uniform-w1-k2,constant,3,2048,uniform,1,2,10000,True,graph,adaptive,selector_ms,5,0.5686137987071848,0.5650988366912972,0.5738572485532287,0.5658726009405113,0.5724197962717785,0.0065471953312672415,5
constant-l3-n2048-uniform-w1-k2,constant,3,2048,uniform,1,2,10000,True,graph,lazy,selector_ms,5,0.568979608596104,0.5612092691310155,0.5722195838719739,0.5640905854264692,0.5716346958625833,0.0075441104361141376,5
constant-l3-n2048-uniform-w1-k2,constant,3,2048,uniform,1,2,10000,True,graph,profile,selector_ms,5,0.49166661276609813,0.47924331438906886,0.49487246828046116,0.48448247393150073,0.49297366119727937,0.008491187265778632,5
constant-l4-n2048-uniform-w1-k2,constant,4,2048,uniform,1,2,10000,True,graph,adaptive,selector_ms,5,0.34453039488282955,0.33471050633243254,0.3459808105103785,0.343004210112402,0.34501653374242397,0.0020123236300219616,5
