condition,suite,arity,n,distribution,workers,policy_k,key_count,selector_only,mode,metric,count,median,minimum,maximum,q1,q3,iqr,expected_repetitions
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,graph,selector.initial_core_size,5,18,16,26,18.0,22.0,4.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,graph,selector.kernel_ms,5,0.133781,0.128222,0.138301,0.12906,0.136803,0.007743,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,graph,selector.light_scans,5,0,0,0,0.0,0.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,graph,selector.normalize_ms,5,0.207369,0.203541,0.213875,0.20369,0.210548,0.006858000000000003,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,graph,selector.profile_links,5,0,0,0,0.0,0.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,graph,selector.profiles,5,0,0,0,0.0,0.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,graph,selector.select_ms,5,0.006307,0.005728,0.007616,0.006033,0.007033,0.001,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,graph,selector.subsets,5,0,0,0,0.0,0.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,graph,selector.switch_ms,5,0,0,0,0.0,0.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,graph,selector.switch_queries,5,0,0,0,0.0,0.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,graph,selector.switch_remaining,5,0,0,0,0.0,0.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,graph,selector.switch_round,5,0,0,0,0.0,0.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,graph,selector.switches,5,0,0,0,0.0,0.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,graph,selector.total_ms,5,0.365666,0.354812,0.368496,0.363497,0.367305,0.003807999999999978,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,graph,selector.tree_updates,5,52,44,72,48.0,60.0,12.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,graph,selector.trim_key_visits,5,1536,1536,1536,1536.0,1536.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,graph,selector.trim_ms,5,0.027807,0.027159,0.027946,0.027315,0.027931,0.000616000000000002,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,graph,selector_ms,5,0.365666,0.354812,0.368496,0.363497,0.367305,0.003807999999999978,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,graph,sync_wait_ms,5,0.003192,0.003115,0.003336,0.003132,0.003249,0.00011700000000000035,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,graph,value_bytes,5,32,32,32,32.0,32.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,lazy,abort_count,5,12,10,16,10.0,14.0,4.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,lazy,actual_arity,5,1,1,1,1.0,1.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,lazy,apply_worker_ms,5,0.034127,0.033869,0.034804,0.034072,0.034153,8.100000000000468e-05,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,lazy,arity_max,5,1,1,1,1.0,1.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,lazy,arity_min,5,1,1,1,1.0,1.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,lazy,batch_ms,5,0.770386,0.763405,0.772323,0.763659,0.771547,0.007888000000000006,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,lazy,commit_count,5,500,496,502,498.0,502.0,4.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,lazy,commit_wall_ms,5,0.073022,0.072637,0.073613,0.072654,0.073208,0.0005539999999999989,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,lazy,commit_worker_ms,5,0.071856,0.071409,0.072463,0.07153,0.072034,0.0005040000000000044,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,lazy,dependency_worker_ms,5,0,0,0,0.0,0.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,lazy,extract_ms,5,0.207374,0.204411,0.219321,0.20711,0.214504,0.007394000000000012,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,lazy,initial_core_size,5,18,16,26,18.0,22.0,4.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,lazy,peak_rss_kib,5,8444,8312,8684,8376.0,8484.0,108.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,lazy,read_wall_ms,5,0.335104,0.330604,0.338525,0.332216,0.338206,0.005989999999999995,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,lazy,read_worker_ms,5,0.333323,0.328502,0.336435,0.330086,0.336418,0.006332000000000004,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,lazy,reservation_worker_ms,5,0.044535,0.044058,0.04498,0.044219,0.044795,0.0005760000000000001,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,lazy,round_count,5,6,5,8,5.0,7.0,2.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,lazy,runner_peak_rss_kib,5,8444,8312,8684,8376.0,8484.0,108.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,lazy,selector.B,5,0,0,0,0.0,0.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,lazy,selector.build_ms,5,0.01144,0.010794,0.012449,0.011054,0.011735,0.000681000000000001,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,lazy,selector.certificate_ms,5,0.011686,0.011143,0.012191,0.011577,0.012054,0.000477,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,lazy,selector.degree_queries,5,28,24,40,26.0,34.0,8.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,lazy,selector.graph_bytes,5,0,0,0,0.0,0.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,lazy,selector.heavy_subsets,5,0,0,0,0.0,0.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,lazy,selector.heavy_updates,5,0,0,0,0.0,0.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,lazy,selector.incidences,5,18,16,26,18.0,22.0,4.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,lazy,selector.index_payload_bytes,5,14240,13376,14368,14240.0,14304.0,64.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,lazy,selector.initial_core_size,5,18,16,26,18.0,22.0,4.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,lazy,selector.kernel_ms,5,0.126335,0.125058,0.129465,0.125571,0.127483,0.0019120000000000248,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,lazy,selector.light_scans,5,0,0,0,0.0,0.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,lazy,selector.normalize_ms,5,0.207374,0.204411,0.219321,0.20711,0.214504,0.007394000000000012,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,lazy,selector.profile_links,5,0,0,0,0.0,0.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,lazy,selector.profiles,5,0,0,0,0.0,0.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,lazy,selector.select_ms,5,0.003747,0.003189,0.0043,0.003299,0.004044,0.000745,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,lazy,selector.subsets,5,9,8,13,9.0,11.0,2.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,lazy,selector.switch_ms,5,0,0,0,0.0,0.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,lazy,selector.switch_queries,5,0,0,0,0.0,0.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,lazy,selector.switch_remaining,5,0,0,0,0.0,0.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,lazy,selector.switch_round,5,0,0,0,0.0,0.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,lazy,selector.switches,5,0,0,0,0.0,0.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,lazy,selector.total_ms,5,0.359638,0.352334,0.368503,0.355535,0.364846,0.009311000000000014,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,lazy,selector.tree_updates,5,0,0,0,0.0,0.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,lazy,selector.trim_key_visits,5,1536,1536,1536,1536.0,1536.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,lazy,selector.trim_ms,5,0.026195,0.026012,0.026627,0.026137,0.026347,0.00020999999999999838,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,lazy,selector_ms,5,0.359638,0.352334,0.368503,0.355535,0.364846,0.009311000000000014,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,lazy,sync_wait_ms,5,0.003197,0.002938,0.003304,0.003026,0.003268,0.00024200000000000003,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,lazy,value_bytes,5,32,32,32,32.0,32.0,0.0,5
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,native,abort_count,5,9,8,13,9.0,11.0,2.0,5
