condition,suite,arity,n,distribution,workers,policy_k,key_count,selector_only,baseline,mode,seed,metric,status,ratio,baseline_ms,baseline_status,mode_ms,mode_status
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,native,profile,101,batch_ms,ok,0.5632392210684086,0.445685,ok,0.791289,ok
arity-l1-n512-uniform-w1-k2,arity,1,512,uniform,1,2,10000,False,native,adaptive,101,batch_ms,ok,0.5661318063222932,0.445685,ok,0.787246,ok
arity-l1-n512-zipf-w1-k2,arity,1,512,zipf,1,2,10000,False,graph,lazy,11,selector_ms,ok,1.4455391333035095,0.836905,ok,0.578957,ok
arity-l1-n512-zipf-w1-k2,arity,1,512,zipf,1,2,10000,False,graph,lazy,11,batch_ms,ok,1.2846333782696497,1.205455,ok,0.938365,ok
arity-l1-n512-zipf-w1-k2,arity,1,512,zipf,1,2,10000,False,graph,profile,11,selector_ms,ok,1.3045372497794347,0.836905,ok,0.641534,ok
arity-l1-n512-zipf-w1-k2,arity,1,512,zipf,1,2,10000,False,graph,profile,11,batch_ms,ok,1.211364033756665,1.205455,ok,0.995122,ok
arity-l1-n512-zipf-w1-k2,arity,1,512,zipf,1,2,10000,False,graph,adaptive,11,selector_ms,ok,1.3063046891828192,0.836905,ok,0.640666,ok
arity-l1-n512-zipf-w1-k2,arity,1,512,zipf,1,2,10000,False,graph,adaptive,11,batch_ms,ok,1.2183894221050673,1.205455,ok,0.989384,ok
arity-l1-n512-zipf-w1-k2,arity,1,512,zipf,1,2,10000,False,native,graph,11,batch_ms,ok,0.3067231875101103,0.369741,ok,1.205455,ok
arity-l1-n512-zipf-w1-k2,arity,1,512,zipf,1,2,10000,False,native,lazy,11,batch_ms,ok,0.39402684456474824,0.369741,ok,0.938365,ok
arity-l1-n512-zipf-w1-k2,arity,1,512,zipf,1,2,10000,False,native,profile,11,batch_ms,ok,0.37155343766894916,0.369741,ok,0.995122,ok
arity-l1-n512-zipf-w1-k2,arity,1,512,zipf,1,2,10000,False,native,adaptive,11,batch_ms,ok,0.3737082871766675,0.369741,ok,0.989384,ok
arity-l1-n512-zipf-w1-k2,arity,1,512,zipf,1,2,10000,False,graph,lazy,29,selector_ms,ok,1.4678807086383112,0.875378,ok,0.596355,ok
arity-l1-n512-zipf-w1-k2,arity,1,512,zipf,1,2,10000,False,graph,lazy,29,batch_ms,ok,1.2942233450724359,1.222293,ok,0.944422,ok
arity-l1-n512-zipf-w1-k2,arity,1,512,zipf,1,2,10000,False,graph,profile,29,selector_ms,ok,1.3545647689800895,0.875378,ok,0.646243,ok
arity-l1-n512-zipf-w1-k2,arity,1,512,zipf,1,2,10000,False,graph,profile,29,batch_ms,ok,1.2302675945478594,1.222293,ok,0.993518,ok
arity-l1-n512-zipf-w1-k2,arity,1,512,zipf,1,2,10000,False,graph,adaptive,29,selector_ms,ok,1.2770515910297782,0.875378,ok,0.685468,ok
arity-l1-n512-zipf-w1-k2,arity,1,512,zipf,1,2,10000,False,graph,adaptive,29,batch_ms,ok,1.181800953915977,1.222293,ok,1.034263,ok
arity-l1-n512-zipf-w1-k2,arity,1,512,zipf,1,2,10000,False,native,graph,29,batch_ms,ok,0.3032922548030627,0.370712,ok,1.222293,ok
arity-l1-n512-zipf-w1-k2,arity,1,512,zipf,1,2,10000,False,native,lazy,29,batch_ms,ok,0.39252791654578145,0.370712,ok,0.944422,ok
arity-l1-n512-zipf-w1-k2,arity,1,512,zipf,1,2,10000,False,native,profile,29,batch_ms,ok,0.37313063276156044,0.370712,ok,0.993518,ok
arity-l1-n512-zipf-w1-k2,arity,1,512,zipf,1,2,10000,False,native,adaptive,29,batch_ms,ok,0.35843107604158714,0.370712,ok,1.034263,ok
arity-l1-n512-zipf-w1-k2,arity,1,512,zipf,1,2,10000,False,graph,lazy,47,selector_ms,ok,1.4605453696330717,0.869413,ok,0.595266,ok
arity-l1-n512-zipf-w1-k2,arity,1,512,zipf,1,2,10000,False,graph,lazy,47,batch_ms,ok,1.2803011907021526,1.207397,ok,0.943057,ok
arity-l1-n512-zipf-w1-k2,arity,1,512,zipf,1,2,10000,False,graph,profile,47,selector_ms,ok,1.3661080173974256,0.869413,ok,0.636416,ok
arity-l1-n512-zipf-w1-k2,arity,1,512,zipf,1,2,10000,False,graph,profile,47,batch_ms,ok,1.2308282779268942,1.207397,ok,0.980963,ok
arity-l1-n512-zipf-w1-k2,arity,1,512,zipf,1,2,10000,False,graph,adaptive,47,selector_ms,ok,1.3958356746759313,0.869413,ok,0.622862,ok
arity-l1-n512-zipf-w1-k2,arity,1,512,zipf,1,2,10000,False,graph,adaptive,47,batch_ms,ok,1.2474501287333712,1.207397,ok,0.967892,ok
arity-l1-n512-zipf-w1-k2,arity,1,512,zipf,1,2,10000,False,native,graph,47,batch_ms,ok,0.306611661284565,0.370202,ok,1.207397,ok
arity-l1-n512-zipf-w1-k2,arity,1,512,zipf,1,2,10000,False,native,lazy,47,batch_ms,ok,0.39255527502579374,0.370202,ok,0.943057,ok
arity-l1-n512-zipf-w1-k2,arity,1,512,zipf,1,2,10000,False,native,profile,47,batch_ms,ok,0.37738630305118537,0.370202,ok,0.980963,ok
arity-l1-n512-zipf-w1-k2,arity,1,512,zipf,1,2,10000,False,native,adaptive,47,batch_ms,ok,0.38248275634058343,0.370202,ok,0.967892,ok
arity-l1-n512-zipf-w1-k2,arity,1,512,zipf,1,2,10000,False,graph,lazy,71,selector_ms,ok,1.4844179698723474,0.867957,ok,0.584712,ok
arity-l1-n512-zipf-w1-k2,arity,1,512,zipf,1,2,10000,False,graph,lazy,71,batch_ms,ok,1.299691432192703,1.222326,ok,0.940474,ok
arity-l1-n512-zipf-w1-k2,arity,1,512,zipf,1,2,10000,False,graph,profile,71,selector_ms,ok,1.3725808645157618,0.867957,ok,0.632354,ok
arity-l1-n512-zipf-w1-k2,arity,1,512,zipf,1,2,10000,False,graph,profile,71,batch_ms,ok,1.2444675669511958,1.222326,ok,0.982208,ok
arity-l1-n512-zipf-w1-k2,arity,1,512,zipf,1,2,10000,False,graph,adaptive,71,selector_ms,ok,1.3813602616438683,0.867957,ok,0.628335,ok
arity-l1-n512-zipf-w1-k2,arity,1,512,zipf,1,2,10000,False,graph,adaptive,71,batch_ms,ok,1.252844027670014,1.222326,ok,0.975641,ok
arity-l1-n512-zipf-w1-k2,arity,1,512,zipf,1,2,10000,False,native,graph,71,batch_ms,ok,0.3079513975813326,0.376417,ok,1.222326,ok
arity-l1-n512-zipf-w1-k2,arity,1,512,zipf,1,2,10000,False,native,lazy,71,batch_ms,ok,0.40024179296822665,0.376417,ok,0.940474,ok
arity-l1-n512-zipf-w1-k2,arity,1,512,zipf,1,2,10000,False,native,profile,71,batch_ms,ok,0.3832355264872614,0.376417,ok,0.982208,ok
arity-l1-n512-zipf-w1-k2,arity,1,512,zipf,1,2,10000,False,native,adaptive,71,batch_ms,ok,0.38581506927240655,0.376417,ok,0.975641,ok
arity-l1-n512-zipf-w1-k2,arity,1,512,zipf,1,2,10000,False,graph,lazy,101,selector_ms,ok,1.4254427100584703,0.817671,ok,0.573626,ok
arity-l1-n512-zipf-w1-k2,arity,1,512,zipf,1,2,10000,False,graph,lazy,101,batch_ms,ok,1.2883618075570018,1.183274,ok,0.918433,ok
arity-l1-n512-zipf-w1-k2,arity,1,512,zipf,1,2,10000,False,graph,profile,101,selector_ms,ok,1.3447032239815284,0.817671,ok,0.608068,ok
arity-l1-n512-zipf-w1-k2,arity,1,512,zipf,1,2,10000,False,graph,profile,101,batch_ms,ok,1.2181747053070469,1.183274,ok,0.97135,ok
arity-l1-n512-zipf-w1-k2,arity,1,512,zipf,1,2,10000,False,graph,adaptive,101,selector_ms,ok,1.3466033168096705,0.817671,ok,0.60721,ok
arity-l1-n512-zipf-w1-k2,arity,1,512,zipf,1,2,10000,False,graph,adaptive,101,batch_ms,ok,1.2213735257626397,1.183274,ok,0.968806,ok
arity-l1-n512-zipf-w1-k2,arity,1,512,zipf,1,2,10000,False,native,graph,101,batch_ms,ok,0.33784989782586283,0.399769,ok,1.183274,ok
arity-l1-n512-zipf-w1-k2,arity,1,512,zipf,1,2,10000,False,native,lazy,101,batch_ms,ok,0.435272905045877,0.399769,ok,0.918433,ok
arity-l1-n512-zipf-w1-k2,arity,1,512,zipf,1,2,10000,False,native,profile,101,batch_ms,ok,0.4115601997220363,0.399769,ok,0.97135,ok
arity-l1-n512-zipf-w1-k2,arity,1,512,zipf,1,2,10000,False,native,adaptive,101,batch_ms,ok,0.4126409208861217,0.399769,ok,0.968806,ok
arity-l1-n8192-uniform-w1-k2,arity,1,8192,uniform,1,2,10000,False,graph,lazy,11,selector_ms,ok,1.6383815217900102,14.07045,ok,8.588018,ok
arity-l1-n8192-uniform-w1-k2,arity,1,8192,uniform,1,2,10000,False,graph,lazy,11,batch_ms,ok,1.3889085269629782,20.537839,ok,14.787035,ok
arity-l1-n8192-uniform-w1-k2,arity,1,8192,uniform,1,2,10000,False,graph,profile,11,selector_ms,ok,1.1987941896380634,14.07045,ok,11.737169,ok
