condition,suite,arity,n,distribution,workers,policy_k,key_count,selector_only,baseline,mode,metric,count,median,minimum,maximum,q1,q3,iqr,expected_pairs
main-l2-n32768-zipf-w1-k2,main,2,32768,zipf,1,2,10000,False,native,profile,batch_ms,5,0.049852009034831356,0.04898938833261414,0.050816876554447506,0.04908312685267179,0.050385446348021466,0.0013023194953496742,5
main-l2-n512-uniform-w1-k2,main,2,512,uniform,1,2,10000,False,native,adaptive,batch_ms,5,0.5181711149573758,0.48593775742777967,0.5246852959557182,0.49866027265150015,0.5231487565677523,0.024488483916252135,5
main-l2-n512-uniform-w1-k2,main,2,512,uniform,1,2,10000,False,native,graph,batch_ms,5,0.5268086533002458,0.5068885332290789,0.5375246128810143,0.5144809534922087,0.5371822831646534,0.02270132967244476,5
main-l2-n512-uniform-w1-k2,main,2,512,uniform,1,2,10000,False,native,lazy,batch_ms,5,0.5192513981694277,0.4938063349485488,0.52625212139848,0.5032601039772217,0.5231403291008736,0.01988022512365195,5
main-l2-n512-uniform-w1-k2,main,2,512,uniform,1,2,10000,False,native,profile,batch_ms,5,0.489225899704968,0.4692424699581874,0.4946294133046291,0.4733707107102082,0.49057418004934394,0.017203469339135746,5
main-l2-n512-zipf-w1-k2,main,2,512,zipf,1,2,10000,False,native,adaptive,batch_ms,5,0.26928934533686594,0.26624251786938996,0.27571580495478515,0.2689097131160648,0.2720681259848543,0.003158412868789484,5
main-l2-n512-zipf-w1-k2,main,2,512,zipf,1,2,10000,False,native,graph,batch_ms,5,0.1630985520942204,0.14956182976884444,0.17100814286328336,0.15792621224018033,0.163141423463397,0.005215211223216665,5
main-l2-n512-zipf-w1-k2,main,2,512,zipf,1,2,10000,False,native,lazy,batch_ms,5,0.2709721602762391,0.2644987770657908,0.2753349489394945,0.2705883851351312,0.2715903711947297,0.0010019860595984476,5
main-l2-n512-zipf-w1-k2,main,2,512,zipf,1,2,10000,False,native,profile,batch_ms,5,0.23262264183569367,0.21924314207716553,0.23902313046235354,0.22573223195812095,0.23268244496530352,0.006950213007182571,5
main-l2-n8192-uniform-w1-k2,main,2,8192,uniform,1,2,10000,False,native,adaptive,batch_ms,5,0.2890313333405127,0.2755756988433438,0.29073519894047,0.2817637862001789,0.2902445192494804,0.008480733049301525,5
main-l2-n8192-uniform-w1-k2,main,2,8192,uniform,1,2,10000,False,native,graph,batch_ms,5,0.2056919382667124,0.20375547914771944,0.20961177960172764,0.2043654157138634,0.20773945488834222,0.0033740391744788156,5
main-l2-n8192-uniform-w1-k2,main,2,8192,uniform,1,2,10000,False,native,lazy,batch_ms,5,0.2871564185958637,0.2820738385542484,0.29131397845215806,0.28621216567739266,0.2908054923491279,0.004593326671735232,5
main-l2-n8192-uniform-w1-k2,main,2,8192,uniform,1,2,10000,False,native,profile,batch_ms,5,0.23240199825628682,0.22908078753686925,0.2355935046944402,0.23072089416323968,0.23504227362368285,0.00432137946044317,5
main-l2-n8192-zipf-w1-k2,main,2,8192,zipf,1,2,10000,False,native,adaptive,batch_ms,5,0.105403517527611,0.104125007425523,0.10798698593595406,0.10470080152062029,0.1069889358171262,0.0022881342965059004,5
main-l2-n8192-zipf-w1-k2,main,2,8192,zipf,1,2,10000,False,native,graph,batch_ms,5,0.010315058631021924,0.009758413505551254,0.010491952809377864,0.009850420224400165,0.010470698870796203,0.0006202786463960375,5
